source_file,task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,outer_R2,outer_RMSE,outer_MAE,n_test_neat,n_test_modified,outer_modified_R2,outer_modified_RMSE,outer_modified_MAE,conformal_alpha,conformal_q,conformal_n_calibration,outer_PICP,outer_MPIW,outer_modified_PICP,outer_modified_MPIW,selected_threshold,outer_Accuracy,outer_Balanced_Accuracy,outer_Macro_F1,outer_Weighted_F1,outer_Brier,outer_ECE,outer_TN,outer_FP,outer_FN,outer_TP,outer_ROC_AUC,outer_PR_AUC,outer_modified_Accuracy,outer_modified_Balanced_Accuracy,outer_modified_Macro_F1,outer_modified_Weighted_F1,outer_modified_Brier,outer_modified_ECE,outer_modified_TN,outer_modified_FP,outer_modified_FN,outer_modified_TP,outer_modified_ROC_AUC,outer_modified_PR_AUC
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,2,scaffold,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,187,ExtraTrees,0.4331533685648639,-19.219807288639554,317,80,82,22,0,0.5383540910452397,17.000699436216742,10.356921291135532,23,57,0.8019278803806672,8.256115905378442,6.061514144419019,0.05,63.15093810444047,64.0,0.9875,126.30187620888094,1.0,126.30187620888094,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,3,scaffold,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,185,GBDT,0.4300382485819948,-18.715666007840877,318,79,83,21,0,0.4369390990828449,20.893682567203022,12.17569789411001,21,58,0.6772030445039143,12.644797729023804,8.317650330511366,0.05,58.19858019718056,64.0,0.9873417721518988,116.39716039436112,1.0,116.39716039436112,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,4,scaffold,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,186,XGB,0.4148838031938137,-19.25215542768688,318,79,83,21,0,0.4290561327980868,18.440173713395467,13.82510632478738,22,57,0.500114411174654,14.722132485712043,11.260864364891722,0.05,62.06707611083985,64.0,0.9873417721518988,124.1341522216796,0.9824561403508772,124.13415222167968,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv,THR,5,scaffold,formulation,baseline_inclusive,0,advanced,1,descriptors,30.0,30,184,LGBM,0.4783472887133917,-18.365129228038224,318,79,83,21,0,0.2378149648869948,20.879796444408136,14.584680059973422,22,57,0.1072750347712658,17.089577182073615,11.01182593823906,0.05,51.71366183963234,64.0,0.9620253164556962,103.4273236792647,0.9649122807017544,103.42732367926467,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\THR\molecule\formulation\with_BDE\THR_outer_fold_metrics.csv,THR,1,molecule,formulation,baseline_inclusive,1,advanced,1,descriptors,30.0,30,205,GBDT,0.3997824472180684,-20.230716072607155,317,80,98,25,0,0.5658856010227588,14.633672894537977,10.61831149816701,22,58,0.7053764317131432,9.085959148146843,6.844113438673196,0.05,75.09181210013487,64.0,1.0,150.18362420026978,1.0,150.18362420026975,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\THR\molecule\formulation\with_BDE\THR_outer_fold_metrics.csv,THR,2,molecule,formulation,baseline_inclusive,1,advanced,1,descriptors,30.0,30,209,XGB,0.3499903424391924,-20.80629819796076,317,80,98,25,0,0.5221692713442558,16.489168509529613,11.305899435043337,21,59,0.6350355971506332,13.352940379611017,8.966203900353385,0.05,44.85690307617188,64.0,0.9625,89.71380615234375,0.9830508474576272,89.71380615234375,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\THR\molecule\formulation\with_BDE\THR_outer_fold_metrics.csv,THR,3,molecule,formulation,baseline_inclusive,1,advanced,1,descriptors,30.0,30,202,GBDT,0.4450086521560873,-18.02615114837209,318,79,99,24,0,0.4139669972630545,22.85561042851521,14.286663004543604,23,56,0.6032194091837028,13.35053811121039,10.276356554527116,0.05,30.84458253858216,64.0,0.9113924050632912,61.68916507716429,0.9464285714285714,61.68916507716432,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\THR\molecule\formulation\with_BDE\THR_outer_fold_metrics.csv,THR,4,molecule,formulation,baseline_inclusive,1,advanced,1,descriptors,30.0,30,203,GBDT,0.41818965061086,-19.964681685164717,318,79,99,24,0,0.6244112700689921,13.575579023190384,10.03654509874722,23,56,0.7702231497406262,9.092223594523194,6.98740443759896,0.05,31.106445878407698,64.0,0.9746835443037974,62.21289175681539,1.0,62.2128917568154,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\THR\molecule\formulation\with_BDE\THR_outer_fold_metrics.csv,THR,5,molecule,formulation,baseline_inclusive,1,advanced,1,descriptors,30.0,30,208,LGBM,0.4778479875827923,-17.887980923211824,318,79,98,25,0,0.2909964873363581,23.267886530678062,16.009429545725897,22,57,0.2905213267929296,18.47763258372089,11.856223446647434,0.05,56.78714697385051,64.0,0.9493670886075948,113.57429394770097,0.9649122807017544,113.57429394770102,,,,,,,,,,,,,,,,,,,,,,,,,
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,1,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,303,GBDT,0.4879791556823823,-11.40253237050464,204,52,54,14,0,0.5581165386193077,10.923996695668698,9.334227417729336,13,39,0.6287916959933862,10.817670700661257,9.158227843170872,0.05,28.66924613300556,40.0,1.0,57.33849226601113,1.0,57.33849226601112,,,,,,,,,,,,,,,,,,,,,,,,,
