source_file,task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Synergy_x_EP_matrix_THR,formulation_interaction,2.43863343568283,3.048291794603537,-0.3671793062409156,-0.4589741328011446,0.8,0.8,0.75,0.25,9.6,4,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,EP_matrix_THR_sq,ep_baseline,2.3784987258529293,2.3784987258529293,-0.1694585885395812,-0.1694585885395812,1.0,1.0,0.6,0.4,3.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,EP_matrix_THR_sqrt,ep_baseline,1.929207209258912,1.929207209258912,-0.262527077823888,-0.262527077823888,1.0,0.8,0.6,0.4,8.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_CuringAgent_Has_S,molecular_descriptor,1.523937209817703,1.523937209817703,0.0671159103139856,0.0671159103139856,1.0,1.0,0.6,0.6,5.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,Main_FR_fraction,formulation_loading,1.4992342137489658,1.4992342137489658,0.062239591717442,0.062239591717442,1.0,0.6,0.6666666666666666,0.6666666666666666,14.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_TPSA,molecular_descriptor,0.7939261879659099,0.7939261879659099,0.0010772952839857,0.0010772952839857,1.0,1.0,0.6,0.4,10.4,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_HBA,molecular_descriptor,0.7927312184398762,0.7927312184398762,-0.0819181053004914,-0.0819181053004914,1.0,1.0,0.6,0.6,10.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_loading_real_sqrt,formulation_loading,0.7506064517460281,0.7506064517460281,0.0031551194196316,0.0031551194196316,1.0,0.8,0.6,0.4,13.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_curing_MolWt,molecular_descriptor,0.4823076634937015,0.4823076634937015,0.00515346437773,0.00515346437773,1.0,1.0,0.6,0.4,13.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,P_x_CuringAgent_Has_N,molecular_descriptor,0.2432540555273287,0.2432540555273287,-0.0315090602188857,-0.0315090602188857,1.0,0.6,0.8,0.2,19.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,THR,N_content_wt%_sqrt,elemental_composition,0.2298936247615285,0.2298936247615285,0.0258917423570433,0.0258917423570433,1.0,0.6,0.8,0.8,19.8,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_CuringAgent_Has_N,molecular_descriptor,0.0120358207946915,0.0120358207946915,-0.0014413189230519,-0.0014413189230519,1.0,1.0,1.0,0.0,8.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_loading_x_Synergy,formulation_loading,0.0117135353648807,0.0117135353648807,-0.0008256591700151,-0.0008256591700151,1.0,1.0,0.8,0.2,13.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_LogP,molecular_descriptor,0.0110059049794027,0.0110059049794027,-0.001669943194897,-0.001669943194897,1.0,1.0,1.0,0.0,12.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_AromaticRings,molecular_descriptor,0.010965772587001,0.010965772587001,-0.0011006305567049,-0.0011006305567049,1.0,1.0,0.8,0.2,7.2,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_HBD,molecular_descriptor,0.010924584039996,0.010924584039996,-0.0014142471016913,-0.0014142471016913,1.0,1.0,0.8,0.2,7.4,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,Loading_total_FR_sqrt,formulation_loading,0.0086900764266418,0.0086900764266418,-0.001639947858402,-0.001639947858402,1.0,0.8,1.0,0.0,25.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,Loading_x_Synergy,formulation_loading,0.0084576148109187,0.0084576148109187,-0.0010847438783758,-0.0010847438783758,1.0,1.0,0.8,0.2,9.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_content_sqrt,elemental_composition,0.0078727587822943,0.0078727587822943,-0.0013043203168651,-0.0013043203168651,1.0,0.8,1.0,0.0,28.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,main_morgan_r3_21,molecular_fingerprint,0.0074439368602603,0.0074439368602603,-0.0010756382460723,-0.0010756382460723,1.0,0.8,1.0,0.0,43.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_loading_real_sqrt,formulation_loading,0.0072221422226208,0.0072221422226208,-0.001136226055702,-0.001136226055702,1.0,0.8,1.0,0.0,40.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_RingCount,molecular_descriptor,0.0070126267853235,0.0070126267853235,-0.0008189186862997,-0.0008189186862997,1.0,0.8,1.0,0.0,17.8,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_HeavyAtomCount,molecular_descriptor,0.0066282180762846,0.0066282180762846,-0.0011371647021771,-0.0011371647021771,1.0,0.8,1.0,0.0,18.0,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_MolWt,molecular_descriptor,0.0062761134057938,0.0062761134057938,-0.0008893528944385,-0.0008893528944385,1.0,0.8,1.0,0.0,23.6,5,5,High
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,main_morgan_r3_128,molecular_fingerprint,0.0091860941569908,0.0091860941569908,-0.0006566603541135,-0.0006566603541135,1.0,0.6,1.0,0.0,47.6,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,Loading_total_FR wt%,formulation_loading,0.0064016149998729,0.0064016149998729,-0.0006813119356839,-0.0006813119356839,1.0,0.6,0.8,0.2,20.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_x_curing_RotBonds,molecular_descriptor,0.0059323709669923,0.0059323709669923,-0.0007389953203992,-0.0007389953203992,1.0,0.8,0.75,0.25,40.2,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,P_content wt%,elemental_composition,0.0058150082012339,0.0058150082012339,-0.0009325584044494,-0.0009325584044494,1.0,0.6,0.75,0.25,147.0,5,5,Medium
results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,UL94_V0,Has_P,elemental_composition,0.005528438944398,0.005528438944398,-0.0009844140123408,-0.0009844140123408,1.0,0.6,1.0,0.0,130.8,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,EP_matrix_Tg,ep_baseline,4.656069427890889,4.656069427890889,-0.3794908014155623,-0.3794908014155623,1.0,1.0,0.8,0.2,1.0,5,5,High
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,EP_matrix_Tg_sq,ep_baseline,1.4471615976116898,1.4471615976116898,-0.1343829217789623,-0.1343829217789623,1.0,1.0,0.8,0.2,5.2,5,5,High
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,EP_matrix_Tg_sqrt,ep_baseline,0.6456296970108822,0.6456296970108822,-0.0680859068936684,-0.0680859068936684,1.0,0.8,0.8,0.2,12.6,5,5,High
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,Cure_Temp_Max,curing_and_preparation,2.3996202452770072,2.3996202452770072,-0.3021596495204191,-0.3021596495204191,1.0,1.0,0.6,0.4,2.6,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,CuringAgent_Has_S,molecular_descriptor,2.387447170239972,2.387447170239972,-0.2317359076127264,-0.2317359076127264,1.0,1.0,0.6,0.6,3.0,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,curing_MolMR,molecular_descriptor,1.4069906061608388,1.4069906061608388,0.0916985368333385,0.0916985368333385,1.0,1.0,0.6,0.6,4.4,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,main_BalabanJ,other,0.8614595048742825,0.8614595048742825,0.0217382696685029,0.0217382696685029,1.0,1.0,0.6,0.4,8.0,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,P_x_curing_LogP,molecular_descriptor,0.7027519844896409,0.7027519844896409,-0.0353527400231576,-0.0353527400231576,1.0,0.8,0.6,0.4,14.4,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,main_FractionCSP3,molecular_descriptor,0.6311951194558857,0.6311951194558857,-0.0879173329794833,-0.0879173329794833,1.0,0.8,0.6,0.4,15.4,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,P_loading_x_Synergy,formulation_loading,0.5139944056508522,0.5139944056508522,0.0448707188315893,0.0448707188315893,1.0,0.8,0.6,0.4,16.0,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,P_S_loading_sum,formulation_loading,0.4840359975038174,0.4840359975038174,0.0294964156144831,0.0294964156144831,1.0,0.8,0.6,0.6,15.6,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,Synergy_x_EP_matrix_Tg,formulation_interaction,0.437980504587922,0.437980504587922,0.0152108917144756,0.0152108917144756,1.0,0.6,0.6,0.6,17.8,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,P_N_loading_ratio,formulation_loading,0.4328088040100151,0.4328088040100151,0.0465382335337827,0.0465382335337827,1.0,1.0,0.6,0.4,16.2,5,5,Medium
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\figures\Tg_SHAP_stable_features_filtered.csv,Tg,P_x_curing_FractionCSP3,molecular_descriptor,0.3775707180714074,0.3775707180714074,-0.0550909543346323,-0.0550909543346323,1.0,0.6,0.8,0.2,30.0,5,5,Medium
