feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
N/P_ratio_sq,elemental_composition,0.020381515499725007,0.020381515499725007,0.0006557365568208174,0.0006557365568208174,1.0,0.0,0.6,0.6,81.0,5,5
P_content_log,elemental_composition,0.019985104171556613,0.019985104171556613,-0.006274105579791427,-0.006274105579791427,1.0,0.0,0.6,0.4,61.6,5,5
P_B_loading_ratio,formulation_loading,0.019657328122944462,0.019657328122944462,-0.005885735155319795,-0.005885735155319795,1.0,0.0,0.6,0.4,76.4,5,5
P_x_curing_HBA,molecular_descriptor,0.019103644891713387,0.019103644891713387,-0.007102699213373555,-0.007102699213373555,1.0,0.0,0.8,0.2,56.0,5,5
N/P ratio,elemental_composition,0.01882163296617386,0.01882163296617386,-0.002128179898703908,-0.002128179898703908,1.0,0.0,0.6,0.4,64.0,5,5
main_morgan_r2_126,molecular_fingerprint,0.017893108620650213,0.017893108620650213,-0.00510009610168463,-0.00510009610168463,1.0,0.0,0.6,0.6,81.2,5,5
P_x_curing_HeavyAtomCount,molecular_descriptor,0.017769645197560812,0.017769645197560812,-0.005972708145436257,-0.005972708145436257,1.0,0.0,1.0,0.0,84.4,5,5
main_morgan_r2_33,molecular_fingerprint,0.01715993518316058,0.01715993518316058,-0.0020780122537713457,-0.0020780122537713457,1.0,0.0,0.75,0.25,72.6,5,5
curing_TPSA,molecular_descriptor,0.016380612097433977,0.016380612097433977,0.0051651244412505865,0.0051651244412505865,1.0,0.0,0.6,0.4,55.2,5,5
main_morgan_r2_94,molecular_fingerprint,0.016373105290316853,0.016373105290316853,0.003960744392783093,0.003960744392783093,1.0,0.0,0.6666666666666666,0.6666666666666666,124.8,5,5
main_HeavyAtomCount,other,0.016018517111161198,0.016018517111161198,-0.0015598908854396747,-0.0015598908854396747,1.0,0.0,0.6,0.4,66.8,5,5
main_morgan_r2_78,molecular_fingerprint,0.01541121007426122,0.01541121007426122,-0.0044437593876524946,-0.0044437593876524946,1.0,0.0,0.6,0.4,65.4,5,5
main_morgan_r2_0,molecular_fingerprint,0.014666630309137499,0.014666630309137499,-0.0013143893040654887,-0.0013143893040654887,1.0,0.0,1.0,0.0,101.0,5,5
P_x_curing_RingCount,molecular_descriptor,0.01399217910727868,0.01399217910727868,-0.002768025087204604,-0.002768025087204604,1.0,0.0,0.5,0.5,80.0,5,5
P_content wt%,elemental_composition,0.013289748947341699,0.013289748947341699,-0.003965286606962883,-0.003965286606962883,1.0,0.0,0.6666666666666666,0.3333333333333333,134.8,5,5
main_morgan_r2_5,molecular_fingerprint,0.013106188332548271,0.013106188332548271,-0.0014758607571234155,-0.0014758607571234155,1.0,0.0,1.0,0.0,102.2,5,5
main_morgan_r2_23,molecular_fingerprint,0.012123519748508805,0.012123519748508805,0.003405670133395966,0.003405670133395966,1.0,0.0,0.75,0.75,102.4,5,5
main_morgan_r2_90,molecular_fingerprint,0.011822430261289322,0.011822430261289322,0.0003289111153356703,0.0003289111153356703,1.0,0.0,0.75,0.75,88.6,5,5
main_morgan_r2_36,molecular_fingerprint,0.011607968316737513,0.011607968316737513,-0.00031450443707891094,-0.00031450443707891094,1.0,0.0,0.5,0.5,125.6,5,5
Loading_total_FR wt%,formulation_loading,0.01148853515734332,0.01148853515734332,-0.0032182689229748665,-0.0032182689229748665,1.0,0.0,0.75,0.25,77.6,5,5
main_morgan_r2_105,molecular_fingerprint,0.011475730767119755,0.011475730767119755,0.00324737669113458,0.00324737669113458,1.0,0.0,1.0,1.0,147.0,5,5
main_RotBonds,other,0.011304019172641904,0.011304019172641904,-0.0015089026914084755,-0.0015089026914084755,1.0,0.0,0.5,0.5,81.4,5,5
main_morgan_r2_115,molecular_fingerprint,0.011081965339319308,0.011081965339319308,0.003917311579283707,0.003917311579283707,1.0,0.0,0.5,0.5,154.4,5,5
