feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
P_x_CuringAgent_Has_B,molecular_descriptor,0.0,0.0,144,3,compact,GBDT,260,260
P_B_loading_sum,formulation_loading,0.0,0.0,145,3,compact,GBDT,260,260
P_S_loading_product,formulation_loading,0.0,0.0,146,3,compact,GBDT,260,260
P_x_CuringAgent_Has_P,molecular_descriptor,0.0,0.0,147,3,compact,GBDT,260,260
main_morgan_r2_20,molecular_fingerprint,0.0,0.0,148,3,compact,GBDT,260,260
main_morgan_r2_17,molecular_fingerprint,0.0,0.0,149,3,compact,GBDT,260,260
main_morgan_r2_19,molecular_fingerprint,0.0,0.0,150,3,compact,GBDT,260,260
main_morgan_r2_48,molecular_fingerprint,0.0,0.0,151,3,compact,GBDT,260,260
main_morgan_r2_50,molecular_fingerprint,0.0,0.0,152,3,compact,GBDT,260,260
main_morgan_r2_46,molecular_fingerprint,0.0,0.0,153,3,compact,GBDT,260,260
main_morgan_r2_44,molecular_fingerprint,0.0,0.0,154,3,compact,GBDT,260,260
main_morgan_r2_43,molecular_fingerprint,0.0,0.0,155,3,compact,GBDT,260,260
main_morgan_r2_49,molecular_fingerprint,0.0,0.0,156,3,compact,GBDT,260,260
main_morgan_r2_41,molecular_fingerprint,0.0,0.0,157,3,compact,GBDT,260,260
main_morgan_r2_40,molecular_fingerprint,0.0,0.0,158,3,compact,GBDT,260,260
main_morgan_r2_39,molecular_fingerprint,0.0,0.0,159,3,compact,GBDT,260,260
main_morgan_r2_37,molecular_fingerprint,0.0,0.0,160,3,compact,GBDT,260,260
B/P_ratio_sqrt,elemental_composition,0.0,0.0,161,3,compact,GBDT,260,260
S/P_ratio_sqrt,elemental_composition,0.0,0.0,162,3,compact,GBDT,260,260
main_morgan_r2_22,molecular_fingerprint,0.0,0.0,163,3,compact,GBDT,260,260
main_morgan_r2_26,molecular_fingerprint,0.0,0.0,164,3,compact,GBDT,260,260
main_morgan_r2_33,molecular_fingerprint,0.0,0.0,165,3,compact,GBDT,260,260
main_morgan_r2_34,molecular_fingerprint,0.0,0.0,166,3,compact,GBDT,260,260
main_morgan_r2_62,molecular_fingerprint,0.0,0.0,167,3,compact,GBDT,260,260
main_morgan_r2_67,molecular_fingerprint,0.0,0.0,168,3,compact,GBDT,260,260
main_morgan_r2_58,molecular_fingerprint,0.0,0.0,169,3,compact,GBDT,260,260
main_morgan_r2_57,molecular_fingerprint,0.0,0.0,170,3,compact,GBDT,260,260
main_morgan_r2_56,molecular_fingerprint,0.0,0.0,171,3,compact,GBDT,260,260
main_morgan_r2_66,molecular_fingerprint,0.0,0.0,172,3,compact,GBDT,260,260
main_morgan_r2_55,molecular_fingerprint,0.0,0.0,173,3,compact,GBDT,260,260
P_loading_real_sqrt,formulation_loading,0.0,0.0,174,3,compact,GBDT,260,260
P_loading_real,formulation_loading,0.0,0.0,175,3,compact,GBDT,260,260
