candidate_status,Candidate_ID,space_name,space_smiles,PC1,PC2
Training,,DPI,NCCNCCN(CCN(CCNCCNC(c1ccccc1)P1(=O)Oc2ccccc2-c2ccccc21)CCNCCN(CCN)CCNC(c1ccccc1)P1(=O)Oc2ccccc2-c2ccccc21)CCN(CCN)CCNC(c1ccccc1)P1(=O)Oc2ccccc2-c2ccccc21,1.4954050529756437,-0.8344902985785962
Training,,DOPO-ABZ,O=P1(Nc2nc3ccccc3s2)Oc2ccccc2-c2ccccc21,-0.26144477784708736,-0.6383394523503815
Training,,D-AZ,O=P1(Nc2nccs2)Oc2ccccc2-c2ccccc21,-0.6310464607635344,-0.15784164520191785
Training,,D-ATA,O=P1(Nc2nc[nH]n2)Oc2ccccc2-c2ccccc21,-0.46172345562759076,0.06766622220325981
Training,,DOPT,Cc1ccc(S(=O)(=O)NP2(=O)Oc3ccccc3-c3ccccc32)cc1,-0.44185773524365163,0.06364014550262716
Training,,DOPO-AI,O=P1(NCCCn2ccnc2)Oc2ccccc2-c2ccccc21,-0.500884284917153,-0.1662636875746796
Training,,DOPO-PEPA,O=P12OCC(COP3(=O)Oc4ccccc4-c4ccccc43)(CO1)CO2,-0.5862294228315215,0.35335366289983045
Training,,MDOP,Nc1nc(N)nc([NH3+])n1.O=P1([O-])Oc2ccccc2-c2ccccc21,-0.05900483673689685,-0.1113061271664008
Training,,DOPO-THPO,O=P(COP1(=O)Oc2ccccc2-c2ccccc21)(COP1(=O)Oc2ccccc2-c2ccccc21)COP1(=O)Oc2ccccc2-c2ccccc21,-0.2817736812328839,0.2631617465985072
Training,,SFD-BOZ,O=P1(C2c3ccccc3OCN2Cc2ccco2)Oc2ccccc2-c2ccccc21,-0.7775913032462826,0.42772434176273966
Training,,DMT,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCC(O)Cn2c(=O)n(CC(O)COc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)c(=O)n(CC(O)COc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)c2=O)cc1,-2.1795735811840564,0.5339739502212744
Training,,DOPO-TMT,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(Oc2nc(Oc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)nc(Oc3ccc(N4C(=O)CC(P5(=O)Oc6ccccc6-c6ccccc65)C4=O)cc3)n2)cc1,-0.7269213490844435,0.8806714728152563
Training,,DOPO-HPM,O=C1CC(P2(=O)Oc3ccccc3-c3ccccc32)C(=O)N1c1ccc(OCC(O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,-2.180193029935668,0.8664261786180761
Training,,CTP-DOPO,O=P1(C(Nc2ccc(O)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,2.6824137012023526,-0.4036108233439045
Training,,DHBAP,O=P1(C(Nc2cnccn2)c2ccccc2O)Oc2ccccc2-c2ccccc21,1.8920253880309938,-0.7703341873725371
Training,,DOPO-VTS,CO[Si](CCP1(=O)Oc2ccccc2-c2ccccc21)(OC)OC,-1.445682202087418,0.27509446455377823
Training,,DMBT,O=P1(Sc2nc3ccccc3s2)Oc2ccccc2-c2ccccc21,-0.8292210077984669,-0.24795492116995455
Training,,DSOC,CCC1(C(O)P2(=O)Oc3ccccc3-c3ccccc32)COC2(OC1)OCC(CC)(C(O)P1(=O)Oc3ccccc3-c3ccccc31)CO2,0.25154412669701026,-0.5330328652275405
