Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,Candidate_rank_50,Pareto_rank_50,Final_ranking_score_50,Loading_total_FR wt%_50,LOI_pred_50,PHRR_pred_50,THR_pred_50,V0_probability_50,Tg_pred_50,TS_pred_50,max_similarity_50,Candidate_rank_35,Pareto_rank_35,Final_ranking_score_35,Loading_total_FR wt%_35,LOI_pred_35,PHRR_pred_35,THR_pred_35,V0_probability_35,Tg_pred_35,TS_pred_35,max_similarity_35,Rank_shift_35_minus_50,Abs_rank_shift,Mean_rank,Worst_rank,Pareto_both,Top20_both,Final_priority
CAND_R2_133,DIB-triethoxysilyl,designed,P-N-Si,B,65,1.0,0.5316589346384438,5.29,41.20002361542717,490.6294655239662,81.3700498328331,0.6039141438782177,188.6428680419922,61.64853508483683,0.7159090909090909,64,1.0,0.5348937297351917,5.29,41.20002361542717,505.8553794050597,81.3700498328331,0.6039141438782177,188.6428680419922,61.64853508483683,0.7159090909090909,-1,1,64.5,65,True,False,False
CAND_R2_134,DIB-disiloxane,designed,P-N-Si,B,53,1.0,0.5719510234601376,10.0,35.31808914267819,783.2012292992944,63.667071678176974,0.6703531615069261,158.3042449951172,75.3802105815335,0.7325581395348837,52,1.0,0.5785904370936205,10.0,35.31808914267819,769.8348278732283,63.667071678176974,0.6703531615069261,158.3042449951172,75.3802105815335,0.7325581395348837,-1,1,52.5,53,True,False,False
CAND_R2_141,DIB-NH-methyl,designed,P-N,B,10,1.0,0.6364461430381317,10.0,36.411898741328926,709.8704588833475,62.60127152046142,0.6875881926453242,150.3799285888672,74.49959810243489,0.7380952380952381,8,1.0,0.6461958994264736,10.0,36.411898741328926,694.5114377553106,62.60127152046142,0.6875881926453242,150.3799285888672,74.49959810243489,0.7380952380952381,-2,2,9.0,10,True,True,True
CAND_R2_144,DTB-amino,designed,P-N-B,B,90,1.0,0.4655179355036619,10.19,34.65100839921951,650.4284090873573,71.09893302096802,0.640448237336142,166.31312561035156,65.23218016095782,0.7684210526315789,89,1.0,0.474721670275623,10.19,34.65100839921951,640.5418428440989,71.09893302096802,0.640448237336142,166.31312561035156,65.23218016095782,0.7684210526315789,-1,1,89.5,90,True,False,False
CAND_R2_145,DTB-hydroxy,designed,P-N-B,B,75,1.0,0.5052899497870882,10.0,34.781655555028095,640.6259929486653,67.43527618430716,0.6291693991441563,157.4239044189453,73.23512208968857,0.7684210526315789,74,1.0,0.514794185588545,10.0,34.781655555028095,630.7394267054069,67.43527618430716,0.6291693991441563,157.4239044189453,73.23512208968857,0.7684210526315789,-1,1,74.5,75,True,False,False
CAND_R2_146,DTB-hydroxymethyl,designed,P-N-B,B,69,1.0,0.5219991626688714,10.0,34.781655555028095,626.672206386144,67.43527618430716,0.6364299213163752,157.47402954101562,73.12186762648857,0.7604166666666666,67,1.0,0.531051279723457,10.0,34.781655555028095,618.8188249215535,67.43527618430716,0.6364299213163752,157.47402954101562,73.12186762648857,0.7604166666666666,-2,2,68.0,69,True,False,False
CAND_R2_147,DTB-carboxamide,designed,P-N-B,B,79,1.0,0.4920449933781854,10.0,33.96623810798026,658.0918641318974,67.43527618430716,0.6367658616282781,157.7195587158203,73.04160157038541,0.7373737373737373,76,1.0,0.4996598686724161,10.0,33.96623810798026,651.3338827861157,67.43527618430716,0.6367658616282781,157.7195587158203,73.04160157038541,0.7373737373737373,-3,3,77.5,79,True,False,False
CAND_R2_148,DTB-boronic-acid,designed,P-N-B,B,72,1.0,0.5123882822203425,10.0,34.128397694479744,637.5479884441394,67.43527618430716,0.6384022937782519,157.47402954101562,74.24946121703675,0.776595744680851,71,1.0,0.5197749525328088,10.0,34.128397694479744,632.7726114840748,67.43527618430716,0.6384022937782519,157.47402954101562,74.24946121703675,0.776595744680851,-1,1,71.5,72,True,False,False
CAND_R2_150,DTB-trimethoxysilyl,designed,P-N-Si-B,B,146,2.0,0.4442897766800631,10.0,40.67449600643598,362.7193011392233,83.6521202388293,0.5536849410090277,189.14910888671875,59.93214307426432,0.7448979591836735,145,2.0,0.4442897766800631,10.0,40.67449600643598,385.3355357265585,83.6521202388293,0.5536849410090277,189.14910888671875,59.93214307426432,0.7448979591836735,-1,1,145.5,146,False,False,False
CAND_R2_151,DTB-triethoxysilyl,designed,P-N-Si-B,B,147,2.0,0.4442897766800631,10.0,40.7903740971425,362.7193011392233,83.6521202388293,0.5539782648818166,189.6041412353516,59.93214307426432,0.7156862745098039,146,2.0,0.4442897766800631,10.0,40.7903740971425,382.93415729331446,83.6521202388293,0.5539782648818166,189.6041412353516,59.93214307426432,0.7156862745098039,-1,1,146.5,147,False,False,False
CAND_R2_152,DTB-disiloxane,designed,P-N-Si-B,B,85,1.0,0.4764590771351047,10.0,33.40401767619916,645.1760225742205,67.58300141286023,0.6290267960786836,157.87637329101562,73.93315300634134,0.7156862745098039,83,1.0,0.4849439446733016,10.0,33.40401767619916,637.32264110963,67.58300141286023,0.6290267960786836,157.87637329101562,73.93315300634134,0.7156862745098039,-2,2,84.0,85,True,False,False
CAND_R2_162,DTB-OH-methyl,designed,P-N-B,B,140,2.0,0.4630180950321202,10.0,34.29367973498066,727.073348823173,67.43527618430716,0.6324052040840609,156.99191284179688,73.12186762648857,0.8651685393258427,140,2.0,0.4713781544357725,10.0,34.29367973498066,713.7069473971069,67.43527618430716,0.6324052040840609,156.99191284179688,73.12186762648857,0.8651685393258427,0,0,140.0,140,False,False,False
CAND_R2_163,DTB-OH-methyl-2,designed,P-N-B,B,141,2.0,0.4566762369591036,10.0,34.29367973498066,713.6917012837342,67.43527618430716,0.6308616913859548,153.6792449951172,73.12186762648857,0.8131868131868132,141,2.0,0.4649724750092132,10.0,34.29367973498066,701.420699976477,67.43527618430716,0.6308616913859548,153.6792449951172,73.12186762648857,0.8131868131868132,0,0,141.0,141,False,False,False
CAND_R2_164,DTB-OH-methyl-3,designed,P-N-B,B,89,1.0,0.4701774345588309,10.0,34.29367973498066,741.5438304967871,67.43527618430716,0.6399787447641645,157.303466796875,73.12186762648857,0.8131868131868132,88,1.0,0.4780938895920204,10.0,34.29367973498066,728.177429070721,67.43527618430716,0.6399787447641645,157.303466796875,73.12186762648857,0.8131868131868132,-1,1,88.5,89,True,False,False
CAND_R2_166,DTB-OH-acetyl,designed,P-N-B,B,137,2.0,0.4845206431135317,10.0,34.26864547291364,667.5646843243934,67.43527618430716,0.6312370255357618,157.1439666748047,73.04160157038541,0.8191489361702128,137,2.0,0.493825105558891,10.0,34.26864547291364,656.2314676769952,67.43527618430716,0.6312370255357618,157.1439666748047,73.04160157038541,0.8191489361702128,0,0,137.0,137,False,False,False
CAND_R2_167,DTB-OH-acetyl-2,designed,P-N-B,B,179,3.0,0.4724003276185897,10.0,34.26864547291364,667.5646843243934,67.43527618430716,0.6294417668817693,153.831298828125,73.04160157038541,0.7708333333333334,181,3.0,0.4817047900639487,10.0,34.26864547291364,656.2314676769952,67.43527618430716,0.6294417668817693,153.831298828125,73.04160157038541,0.7708333333333334,2,2,180.0,181,False,False,False
CAND_R2_168,DTB-OH-acetyl-3,designed,P-N-B,B,80,1.0,0.4896170229651037,10.0,34.26864547291364,682.0351659980075,67.15081570278639,0.6360488353635523,157.4555206298828,73.04160157038541,0.7708333333333334,77,1.0,0.4984778810399999,10.0,34.26864547291364,670.7019493506093,67.15081570278639,0.6360488353635523,157.4555206298828,73.04160157038541,0.7708333333333334,-3,3,78.5,80,True,False,False
CAND_R2_170,DTB-OH-allyl,designed,P-N-B,B,88,1.0,0.4753610998725633,10.0,33.82057520214039,727.073348823173,67.43527618430716,0.6411610468900081,157.1439666748047,74.67496842923194,0.7857142857142857,84,1.0,0.4828412758672374,10.0,33.82057520214039,715.7401321757748,67.43527618430716,0.6411610468900081,157.1439666748047,74.67496842923194,0.7857142857142857,-4,4,86.0,88,True,False,False
CAND_R2_171,DTB-OH-allyl-2,designed,P-N-B,B,181,3.0,0.4501335716509087,10.0,33.82057520214039,727.073348823173,67.43527618430716,0.6343679246844706,154.82955932617188,73.22149096172365,0.7474747474747475,183,3.0,0.4576137476455828,10.0,33.82057520214039,715.7401321757748,67.43527618430716,0.6343679246844706,154.82955932617188,73.22149096172365,0.7474747474747475,2,2,182.0,183,False,False,False
CAND_R2_172,DTB-OH-allyl-3,designed,P-N-B,B,138,2.0,0.4801096923472418,10.0,33.82057520214039,713.1195622606517,67.15081570278639,0.6435120556709402,157.4555206298828,73.22149096172365,0.74,138,2.0,0.4880176330040228,10.0,33.82057520214039,701.7863456132535,67.15081570278639,0.6435120556709402,157.4555206298828,73.22149096172365,0.74,0,0,138.0,138,False,False,False
CAND_R2_174,DSD-amino,designed,P-N-S,B,143,2.0,0.4539324317030108,6.78,32.614208914639526,783.6262190864746,68.44146090777807,0.6866645218960807,160.2135009765625,66.0824107582802,0.8333333333333334,136,2.0,0.5134579611145298,10.19,33.77219327789769,755.19905212657,67.04780462666407,0.7050610190077206,157.24676513671875,66.02485359155929,0.8333333333333334,-7,7,139.5,143,False,False,False
CAND_R2_175,DSD-hydroxy,designed,P-N-S,B,135,2.0,0.5199134448241522,7.0,33.101024352943426,758.847366457001,64.63007884256413,0.6824036981968395,155.1492156982422,72.48758298508923,0.8536585365853658,133,2.0,0.5276952184186242,7.0,33.101024352943426,744.5664363109425,64.63007884256413,0.6824036981968395,155.1492156982422,72.48758298508923,0.8536585365853658,-2,2,134.0,135,False,False,False
