task,seed,split_id,repeat,fold,k_best,model,target_mode,model_variant,test_R2,test_RMSE,test_MAE,n_samples,test_size,selected_features,split
pc_pn,8,8,2,3,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6313135369166577,22.810882598089847,15.281394230769125,239,,1300,repeated_kfold
pc_pn,8,8,2,3,1300,SoftVote_local,raw,SoftVote_local__raw,0.7509010381960843,18.74992142240064,13.818472433717735,239,,1300,repeated_kfold
pc_pn,9,9,2,4,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7935602535467063,18.222253572794017,14.040432692307716,239,,1100,repeated_kfold
pc_pn,9,9,2,4,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7910908036887003,18.33091765245308,13.946730769230724,239,,1100,repeated_kfold
pc_pn,9,9,2,4,1100,SoftVote_local,raw,SoftVote_local__raw,0.7583473924828008,19.715199229359914,14.53000058361944,239,,1100,repeated_kfold
pc_pn,9,9,2,4,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7840824877913588,18.63585664973647,14.202099358974413,239,,1200,repeated_kfold
pc_pn,9,9,2,4,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7965042889428581,18.091853295630344,14.015480769230706,239,,1200,repeated_kfold
pc_pn,9,9,2,4,1200,SoftVote_local,raw,SoftVote_local__raw,0.7707301398074637,19.203434584938478,14.419314406811376,239,,1200,repeated_kfold
pc_pn,9,9,2,4,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7786808262940965,18.867525574756836,14.436490384615391,239,,1300,repeated_kfold
pc_pn,9,9,2,4,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7778585420003273,18.90254306976808,14.37299679487178,239,,1300,repeated_kfold
pc_pn,9,9,2,4,1300,SoftVote_local,raw,SoftVote_local__raw,0.7526924369832299,19.94454468574965,14.910282314611125,239,,1300,repeated_kfold
pc_pn,10,10,2,5,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7879798917476619,23.761096790775877,15.285867430441929,239,,1100,repeated_kfold
pc_pn,10,10,2,5,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.788068390284034,23.756137257020907,15.335245499181601,239,,1100,repeated_kfold
pc_pn,10,10,2,5,1100,SoftVote_local,raw,SoftVote_local__raw,0.7886525657385657,23.723373553725132,14.908122188063553,239,,1100,repeated_kfold
pc_pn,10,10,2,5,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7837469831721419,23.997115668065273,15.029950900163644,239,,1200,repeated_kfold
pc_pn,10,10,2,5,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8038648994217141,22.853652460595686,14.642921440261835,239,,1200,repeated_kfold
pc_pn,10,10,2,5,1200,SoftVote_local,raw,SoftVote_local__raw,0.7928619125130771,23.485939537441286,14.685249513995656,239,,1200,repeated_kfold
pc_pn,10,10,2,5,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7749401088913068,24.48087913045873,15.683813420621947,239,,1300,repeated_kfold
pc_pn,10,10,2,5,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8073466577072754,22.649896999331446,14.499918166939382,239,,1300,repeated_kfold
pc_pn,10,10,2,5,1300,SoftVote_local,raw,SoftVote_local__raw,0.7934036323766986,23.455208517934185,14.602220965135302,239,,1300,repeated_kfold
pc_pn,11,11,3,1,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7827412665799511,21.89433347314955,14.999631410256322,239,,1100,repeated_kfold
pc_pn,11,11,3,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7903908585286907,21.505434247990987,14.669671474358951,239,,1100,repeated_kfold
pc_pn,11,11,3,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.7832184800594486,21.8702745672857,14.42411997237302,239,,1100,repeated_kfold
pc_pn,11,11,3,1,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.784051281446325,21.828225039038433,14.691386217948674,239,,1200,repeated_kfold
pc_pn,11,11,3,1,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7854475173208052,21.757544429078678,14.641153846153827,239,,1200,repeated_kfold
pc_pn,11,11,3,1,1200,SoftVote_local,raw,SoftVote_local__raw,0.7890297726682376,21.575143467064045,14.230633728529261,239,,1200,repeated_kfold
pc_pn,11,11,3,1,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7870457812466022,21.67635380091778,15.24455128205126,239,,1300,repeated_kfold
pc_pn,11,11,3,1,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7633377234770297,22.851127093303884,15.381085737179468,239,,1300,repeated_kfold
pc_pn,11,11,3,1,1300,SoftVote_local,raw,SoftVote_local__raw,0.7742078761392648,22.32017016260321,14.574727508012492,239,,1300,repeated_kfold
pc_pn,12,12,3,2,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7036520558081966,20.82199394845863,15.658012820512885,239,,1100,repeated_kfold
pc_pn,12,12,3,2,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6986748282133101,20.99612080634358,16.03207532051283,239,,1100,repeated_kfold
pc_pn,12,12,3,2,1100,SoftVote_local,raw,SoftVote_local__raw,0.7238133054032948,20.101234623495376,15.149421226457198,239,,1100,repeated_kfold
pc_pn,12,12,3,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7133280563891914,20.479245487060997,15.619190705128249,239,,1200,repeated_kfold
pc_pn,12,12,3,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7126339880907475,20.504021894944053,15.557019230769257,239,,1200,repeated_kfold
pc_pn,12,12,3,2,1200,SoftVote_local,raw,SoftVote_local__raw,0.728499438643134,19.929973555514387,14.97380749112584,239,,1200,repeated_kfold
pc_pn,12,12,3,2,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.713807956706014,20.462096768503184,15.43153044871803,239,,1300,repeated_kfold
pc_pn,12,12,3,2,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7173059334051111,20.336663523324372,15.475657051282072,239,,1300,repeated_kfold
pc_pn,12,12,3,2,1300,SoftVote_local,raw,SoftVote_local__raw,0.7294695994088465,19.894333514725894,15.027076424641352,239,,1300,repeated_kfold
pc_pn,13,13,3,3,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7201506190602346,22.548513619069553,16.779751602564108,239,,1100,repeated_kfold
pc_pn,13,13,3,3,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7615691525568077,20.81310928980332,15.583966346153927,239,,1100,repeated_kfold
pc_pn,13,13,3,3,1100,SoftVote_local,raw,SoftVote_local__raw,0.7471766752349926,21.432079553094646,16.120298047878595,239,,1100,repeated_kfold
pc_pn,13,13,3,3,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7214497554401396,22.49611459179276,16.34533653846154,239,,1200,repeated_kfold
pc_pn,13,13,3,3,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7480825677193681,21.393648402258194,15.687027243589831,239,,1200,repeated_kfold
pc_pn,13,13,3,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.7426374903024359,21.623619217393188,16.028611770428792,239,,1200,repeated_kfold
pc_pn,13,13,3,3,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7189404509920134,22.597214914189856,16.878918269230812,239,,1300,repeated_kfold
pc_pn,13,13,3,3,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.762311776218566,20.780671453959776,15.53113782051292,239,,1300,repeated_kfold
pc_pn,13,13,3,3,1300,SoftVote_local,raw,SoftVote_local__raw,0.7424448856388439,21.6317090339469,16.167047097513464,239,,1300,repeated_kfold
pc_pn,14,14,3,4,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7277386880956571,19.68713873709743,12.952235576922995,239,,1100,repeated_kfold
pc_pn,14,14,3,4,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7316768141352958,19.544237714514882,12.76804487179472,239,,1100,repeated_kfold
pc_pn,14,14,3,4,1100,SoftVote_local,raw,SoftVote_local__raw,0.7598642567762017,18.489196551954485,12.542012863562123,239,,1100,repeated_kfold
pc_pn,14,14,3,4,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7270711741098055,19.711257836807924,12.9891025641025,239,,1200,repeated_kfold
pc_pn,14,14,3,4,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7215701525673957,19.9089121436782,12.92611378205114,239,,1200,repeated_kfold
pc_pn,14,14,3,4,1200,SoftVote_local,raw,SoftVote_local__raw,0.7623938372123857,18.391556503930676,12.624517524594305,239,,1200,repeated_kfold
pc_pn,14,14,3,4,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7279327419268172,19.68012149757071,12.969991987179379,239,,1300,repeated_kfold
pc_pn,14,14,3,4,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7266370137661418,19.726929405784805,12.614775641025522,239,,1300,repeated_kfold
pc_pn,14,14,3,4,1300,SoftVote_local,raw,SoftVote_local__raw,0.7707403082944754,18.065645647560828,12.39364037712223,239,,1300,repeated_kfold
pc_pn,15,15,3,5,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.8272207264103504,20.807721507780045,15.3836579378068,239,,1100,repeated_kfold
