task,split,outer_fold,score,source
THR,scaffold,3,0.4369390990828449,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,scaffold,4,0.4290561327980868,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv
THR,scaffold,5,0.2378149648869948,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\THR\scaffold\formulation\without_BDE\THR_outer_fold_metrics.csv
UL94_V0,molecule,1,0.8156618156618156,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecule,2,0.7367521367521368,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecule,3,0.796875,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecule,4,0.7579731743666169,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,molecule,5,0.7856474988312295,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\molecule\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,reference,1,0.8748016831068497,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\reference\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,reference,2,0.8467532467532467,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\reference\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,reference,3,0.8295427717006374,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\reference\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,reference,4,0.7902680197762164,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\reference\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,reference,5,0.7429833503227998,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\reference\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,scaffold,1,0.8888888888888888,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\scaffold\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,scaffold,2,0.769792813532179,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\scaffold\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,scaffold,3,0.8104438289535905,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\scaffold\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,scaffold,4,0.7566069428891378,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\scaffold\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
UL94_V0,scaffold,5,0.8275349390425215,C:\Users\26981\OneDrive\Desktop\课题1\python_work\ML_DOPO_Project\results\scientific_validation\FINAL_grouping_sensitivity_5x5\UL94_V0\scaffold\formulation\without_BDE\UL94_V0_outer_fold_metrics.csv
