task,grouping,group,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high,reliable_threshold,caution_threshold
UL94_V0,AD_zone_temp,Extrapolation,309,0.7475728155339806,0.7506536223327991,0.7474432056333306,0.8252509066374294,0.7458308897629014,0.16653371504204606,0.0614698603297821,,,0.65,0.6
UL94_V0,AD_zone_temp,In_domain,207,0.782608695652174,0.7926356589147288,0.7772863120143455,0.8633472470681773,0.6909842647595358,0.1477951972725515,0.07818780010601036,,,0.65,0.6
UL94_V0,AD_zone_temp,Caution,422,0.7843601895734598,0.7874629499739801,0.7841553550852935,0.8615290630585786,0.785651254228724,0.1479702152885482,0.05856448002269023,,,0.7,0.35
UL94_V0,AD_zone_temp,Extrapolation,28,0.6071428571428571,0.6122994652406417,0.6025806451612903,0.7112299465240641,0.6616340331651337,0.2067291720407745,0.1985415687021952,,,0.7,0.35
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.35
UL94_V0,AD_zone_temp,Caution,385,0.7948051948051948,0.7997906698564593,0.7947830428651431,0.8679588951718138,0.7921938466921417,0.14324802016245716,0.05462852687258253,,,0.7,0.4
UL94_V0,AD_zone_temp,Extrapolation,65,0.6461538461538462,0.6327220077220077,0.6336682185738789,0.7557915057915058,0.6777076129101134,0.2012516908671234,0.15628582062928606,,,0.7,0.4
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.4
UL94_V0,AD_zone_temp,Caution,353,0.7932011331444759,0.7969535783365571,0.7931944946029453,0.8670535138620246,0.7979310834249875,0.1437221613002646,0.06347457080400357,,,0.7,0.45
UL94_V0,AD_zone_temp,Extrapolation,97,0.7010309278350515,0.6912024756852344,0.6903687396807925,0.7939876215738284,0.69279028703444,0.18039097659706843,0.08436566777346777,,,0.7,0.45
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.45
UL94_V0,AD_zone_temp,Caution,303,0.7854785478547854,0.7903140901912616,0.7854692010239094,0.8653272503948062,0.7916860370305923,0.14446070109936912,0.0633384918196075,,,0.7,0.5
UL94_V0,AD_zone_temp,Extrapolation,147,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,,,0.7,0.5
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.5
UL94_V0,AD_zone_temp,Caution,222,0.8063063063063063,0.8120098039215686,0.8063023760728851,0.8891339869281046,0.8275314634452097,0.13155808795941829,0.07309914716593388,,,0.7,0.55
UL94_V0,AD_zone_temp,Extrapolation,228,0.7412280701754386,0.7415966386554622,0.7397814101944096,0.816604419545596,0.7108318433283121,0.171166456762799,0.0634611142186892,,,0.7,0.55
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.55
UL94_V0,AD_zone_temp,Caution,141,0.8297872340425532,0.8342180481829318,0.8290909090909091,0.921396488362597,0.872412636477576,0.11895694837529655,0.10140099602991348,,,0.7,0.6
UL94_V0,AD_zone_temp,Extrapolation,309,0.7475728155339806,0.7506536223327991,0.7474432056333306,0.8252509066374294,0.7458308897629014,0.16653371504204606,0.0614698603297821,,,0.7,0.6
UL94_V0,AD_zone_temp,In_domain,149,0.8053691275167785,0.8190312738367658,0.8017980826567589,0.8573607932875668,0.6747907482846045,0.1492007383913109,0.09454651499559999,,,0.7,0.6
UL94_V0,AD_zone_temp,Caution,511,0.7925636007827789,0.7963203463203463,0.7922764227642276,0.8696196660482375,0.789929531873091,0.14317652174055798,0.04956179197554896,,,0.75,0.35
UL94_V0,AD_zone_temp,Extrapolation,28,0.6071428571428571,0.6122994652406417,0.6025806451612903,0.7112299465240641,0.6616340331651337,0.2067291720407745,0.1985415687021952,,,0.75,0.35
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.35
UL94_V0,AD_zone_temp,Caution,474,0.8016877637130801,0.8072429906542056,0.8015994585351952,0.875197699496765,0.7950610947505732,0.13896679223671687,0.04886208978402919,,,0.75,0.4
UL94_V0,AD_zone_temp,Extrapolation,65,0.6461538461538462,0.6327220077220077,0.6336682185738789,0.7557915057915058,0.6777076129101134,0.2012516908671234,0.15628582062928606,,,0.75,0.4
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.4
UL94_V0,AD_zone_temp,Caution,442,0.8009049773755657,0.8055114702063194,0.8008886704752545,0.874909825422017,0.7993667924418651,0.1390355083634642,0.05207780231616174,,,0.75,0.45
UL94_V0,AD_zone_temp,Extrapolation,97,0.7010309278350515,0.6912024756852344,0.6903687396807925,0.7939876215738284,0.69279028703444,0.18039097659706843,0.08436566777346777,,,0.75,0.45
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.45
