feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
curing_morgan_r3_376,molecular_fingerprint,0.0003213010089062916,0.00040162626113286444,1.2666427939168499e-05,1.5833034923960624e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,400.2,4,5
main_morgan_r3_408,molecular_fingerprint,0.00023088786338131386,0.0002886098292266423,9.859934431864933e-05,0.00012324918039831166,0.8,0.0,0.5,0.5,403.4,4,5
main_morgan_r3_394,molecular_fingerprint,0.00021694751163991421,0.0002711843895498928,4.304806543271319e-05,5.3810081790891485e-05,0.8,0.0,0.75,0.25,405.6,4,5
co_morgan_r3_183,molecular_fingerprint,0.00018836695777438056,0.0002354586972179757,-0.00014839736147824722,-0.00018549670184780904,0.8,0.0,1.0,0.0,466.2,4,5
Synergy_type_P-N-S,other,0.00015399314300789828,0.00019249142875987286,-1.0139392953399196e-05,-1.2674241191748995e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,432.0,4,5
main_morgan_r3_223,molecular_fingerprint,0.00013192856900706018,0.00016491071125882524,5.0918021127876666e-05,6.364752640984583e-05,0.8,0.0,0.75,0.75,449.0,4,5
Synergy_type_P-N-Si-S,other,0.00011972854354058249,0.0001496606794257281,-0.00011972854354058249,-0.0001496606794257281,0.8,0.0,1.0,0.0,490.6,4,5
co_NHOHCount,other,0.00011492811042757643,0.00014366013803447054,-7.565234648225466e-05,-9.456543310281833e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,518.8,4,5
main_morgan_r3_238,molecular_fingerprint,0.00011433360889060394,0.00014291701111325493,-4.999778956775141e-05,-6.249723695968926e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,423.8,4,5
co_morgan_r3_175,molecular_fingerprint,0.0001091019764674507,0.00013637747058431338,-0.0001091019764674507,-0.00013637747058431338,0.8,0.0,1.0,0.0,531.4,4,5
co_morgan_r3_138,molecular_fingerprint,0.00010474481169136299,0.00013093101461420374,-3.014879706893224e-05,-3.76859963361653e-05,0.8,0.0,0.75,0.25,469.2,4,5
co_morgan_r3_51,molecular_fingerprint,9.97609980959832e-05,0.000124701247619979,-3.431563813396742e-05,-4.2894547667459275e-05,0.8,0.0,0.5,0.5,516.2,4,5
curing_morgan_r3_28,molecular_fingerprint,9.004890999489768e-05,0.0001125611374936221,9.004890999489768e-05,0.0001125611374936221,0.8,0.0,1.0,1.0,475.6,4,5
main_morgan_r3_338,molecular_fingerprint,8.91490949110323e-05,0.00011143636863879039,3.5416106615712475e-05,4.42701332696406e-05,0.8,0.0,0.6666666666666666,0.6666666666666666,468.8,4,5
curing_morgan_r3_337,molecular_fingerprint,8.871003300287029e-05,0.00011088754125358786,8.384050595612454e-05,0.00010480063244515568,0.8,0.0,1.0,1.0,523.6,4,5
co_morgan_r3_12,molecular_fingerprint,8.795966720895699e-05,0.00010994958401119624,-8.795966720895699e-05,-0.00010994958401119624,0.8,0.0,1.0,0.0,537.8,4,5
main_morgan_r3_403,molecular_fingerprint,8.601251350531432e-05,0.0001075156418816429,8.601251350531432e-05,0.0001075156418816429,0.8,0.0,1.0,1.0,531.4,4,5
Synergy_type_P-N-Si-B,other,8.216483726520589e-05,0.00010270604658150737,-8.216483726520589e-05,-0.00010270604658150737,0.8,0.0,1.0,0.0,538.8,4,5
main_morgan_r3_125,molecular_fingerprint,7.413878779011107e-05,9.267348473763885e-05,7.413878779011107e-05,9.267348473763885e-05,0.8,0.0,1.0,1.0,473.8,4,5
co_AromaticHeterocycles,other,7.1724170597564e-05,8.9655213246955e-05,1.503785049362703e-05,1.8797313117033786e-05,0.8,0.0,0.6666666666666666,0.6666666666666666,522.4,4,5
curing_morgan_r3_33,molecular_fingerprint,7.135568246594125e-05,8.919460308242655e-05,1.0707668236616677e-05,1.3384585295770845e-05,0.8,0.0,0.6666666666666666,0.6666666666666666,471.4,4,5
co_morgan_r3_214,molecular_fingerprint,6.92000879377398e-05,8.650010992217476e-05,6.495866096762862e-05,8.119832620953577e-05,0.8,0.0,1.0,1.0,510.0,4,5
main_morgan_r3_256,molecular_fingerprint,6.623705733020163e-05,8.279632166275204e-05,6.623705733020163e-05,8.279632166275204e-05,0.8,0.0,1.0,1.0,547.2,4,5
main_morgan_r3_508,molecular_fingerprint,5.539198430007117e-05,6.923998037508896e-05,-5.4865497956257057e-05,-6.858187244532132e-05,0.8,0.0,1.0,0.0,532.8,4,5
main_morgan_r3_450,molecular_fingerprint,5.047219336362709e-05,6.309024170453386e-05,-5.047219336362709e-05,-6.309024170453386e-05,0.8,0.0,1.0,0.0,552.0,4,5
main_morgan_r3_288,molecular_fingerprint,4.022557847971736e-05,5.0281973099646694e-05,-2.921155191427891e-05,-3.651443989284864e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,531.8,4,5
curing_morgan_r3_477,molecular_fingerprint,3.985688369635277e-05,4.982110462044096e-05,-7.6264055196083464e-06,-9.533006899510433e-06,0.8,0.0,0.5,0.5,551.8,4,5
main_morgan_r3_150,molecular_fingerprint,3.949834945620347e-05,4.9372936820254334e-05,-2.3927819822751586e-05,-2.9909774778439482e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,504.8,4,5
main_morgan_r3_300,molecular_fingerprint,3.520322976287894e-05,4.400403720359867e-05,-3.375068793846164e-05,-4.218835992307706e-05,0.8,0.0,1.0,0.0,543.4,4,5
