feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
main_morgan_r3_100,molecular_fingerprint,9.918126116695526e-05,1.2872112606601152e-05,467,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_67,molecular_fingerprint,9.848550477777788e-05,2.3074304442742595e-05,468,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_10,molecular_fingerprint,9.799447132549073e-05,-7.705605419093646e-05,469,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_294,molecular_fingerprint,9.701380606118609e-05,-5.257167018036233e-05,470,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_487,molecular_fingerprint,9.655762572517941e-05,-5.0331625864651476e-05,471,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_494,molecular_fingerprint,9.541168445310907e-05,-9.101699359533596e-05,472,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_247,molecular_fingerprint,9.414400892151457e-05,-1.1902489521528679e-05,473,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_365,molecular_fingerprint,9.378718963047404e-05,-4.482020678058992e-05,474,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_49,molecular_fingerprint,9.310585063196363e-05,9.310585063196363e-05,475,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_76,molecular_fingerprint,9.234534453749494e-05,-1.7034226682544812e-05,476,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_13,molecular_fingerprint,9.023468119200586e-05,-2.7960122049566708e-05,477,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_307,molecular_fingerprint,9.02253817471996e-05,3.144670972885757e-05,478,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_330,molecular_fingerprint,9.006491578072466e-05,-6.667047300546692e-05,479,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_33,molecular_fingerprint,8.944054476943266e-05,-8.944054476943266e-05,480,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_273,molecular_fingerprint,8.869464633603584e-05,-1.9467874257878113e-05,481,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_129,molecular_fingerprint,8.864994201417176e-05,-8.864994201417176e-05,482,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_390,molecular_fingerprint,8.612703758322325e-05,-2.0413858735845263e-05,483,4,morgan_r3,ExtraTrees,,672
curing_morgan_r3_337,molecular_fingerprint,8.60930607475691e-05,8.60930607475691e-05,484,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_381,molecular_fingerprint,8.589123999767722e-05,6.891183981731312e-05,485,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_93,molecular_fingerprint,8.454424983995073e-05,-2.250896849438454e-05,486,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_40,molecular_fingerprint,8.409098137260823e-05,8.409098137260823e-05,487,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_27,molecular_fingerprint,8.341518658232317e-05,-7.63894714214904e-05,488,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_132,molecular_fingerprint,8.313093771928633e-05,5.440567655973095e-06,489,4,morgan_r3,ExtraTrees,,672
co_Kappa3,other,8.239747992806516e-05,3.278285889861208e-05,490,4,morgan_r3,ExtraTrees,,672
co_Kappa2,other,8.21886464768795e-05,5.7579828555339585e-05,491,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_395,molecular_fingerprint,7.977738195750006e-05,4.745244445602893e-05,492,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_78,molecular_fingerprint,7.92199158060056e-05,-7.92199158060056e-05,493,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_279,molecular_fingerprint,7.911547340045091e-05,-3.399045800452746e-05,494,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_52,molecular_fingerprint,7.882437005043305e-05,-4.558061466405476e-06,495,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_74,molecular_fingerprint,7.694276999220367e-05,-1.4044527773080525e-05,496,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_187,molecular_fingerprint,7.68891729339474e-05,5.530880043127995e-06,497,4,morgan_r3,ExtraTrees,,672
co_MolWt,molecular_descriptor,7.682657441768644e-05,4.1003128777043066e-05,498,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_9,molecular_fingerprint,7.631847311687225e-05,-6.1037647694017e-05,499,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_42,molecular_fingerprint,7.621870237032779e-05,-7.6017805964265e-05,500,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_497,molecular_fingerprint,7.481853892370239e-05,7.318703515089846e-05,501,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_213,molecular_fingerprint,7.332218791273386e-05,-1.4821047937453309e-06,502,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_232,molecular_fingerprint,7.255122696708188e-05,4.8897920849716076e-05,503,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_96,molecular_fingerprint,7.186237776623883e-05,-7.186237776623883e-05,504,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_189,molecular_fingerprint,6.957332098800685e-05,-1.924154747345913e-05,505,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_185,molecular_fingerprint,6.859388009211722e-05,2.4537053595850003e-05,506,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_335,molecular_fingerprint,6.786160658468216e-05,-4.684930502310495e-06,507,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_104,molecular_fingerprint,6.765248979844626e-05,-6.765248979844626e-05,508,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_345,molecular_fingerprint,6.695881697592339e-05,1.4328781418081843e-05,509,4,morgan_r3,ExtraTrees,,672
curing_RingCount,molecular_descriptor,6.683984745147128e-05,6.683984745147128e-05,510,4,morgan_r3,ExtraTrees,,672
Co_FR_fraction,formulation_loading,6.661065767948081e-05,8.979125460371048e-06,511,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_506,molecular_fingerprint,6.611015880508828e-05,1.4972441927277996e-05,512,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_467,molecular_fingerprint,6.30445295142105e-05,3.649666594925173e-05,513,4,morgan_r3,ExtraTrees,,672
main_morgan_r3_237,molecular_fingerprint,6.221241959180033e-05,-3.8329584119070304e-05,514,4,morgan_r3,ExtraTrees,,672
