feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
P_x_curing_RotBonds,molecular_descriptor,0.14528502196263787,0.14528502196263787,0.030725580919613738,0.030725580919613738,1.0,0.0,0.6,0.6,40.4,5,5
N/P ratio,elemental_composition,0.14264072267840647,0.14264072267840647,0.021088665912592622,0.021088665912592622,1.0,0.0,0.6,0.4,41.0,5,5
curing_LabuteASA,molecular_descriptor,0.14261439318420727,0.14261439318420727,0.05875696609291051,0.05875696609291051,1.0,0.0,0.6,0.6,55.2,5,5
curing_HeavyAtomCount,molecular_descriptor,0.12513909792105443,0.12513909792105443,0.023783823154379474,0.023783823154379474,1.0,0.0,0.5,0.5,70.6,5,5
P_x_curing_MolWt,molecular_descriptor,0.11085049606359151,0.11085049606359151,-0.0007267426601788883,-0.0007267426601788883,1.0,0.0,0.6,0.6,50.6,5,5
P_x_curing_TPSA,molecular_descriptor,0.11026533357489918,0.11026533357489918,0.0004040558401750445,0.0004040558401750445,1.0,0.0,0.8,0.8,47.0,5,5
P_x_curing_HBA,molecular_descriptor,0.09540584831026461,0.09540584831026461,0.018186424710408673,0.018186424710408673,1.0,0.0,0.8,0.8,52.0,5,5
P_Si_loading_sum,formulation_loading,0.09439356279405035,0.09439356279405035,-0.010299797292953175,-0.010299797292953175,1.0,0.0,0.6,0.6,49.8,5,5
main_morgan_r3_331,molecular_fingerprint,0.09113484208022822,0.09113484208022822,-0.010657582247383729,-0.010657582247383729,1.0,0.0,0.6,0.4,62.8,5,5
curing_NumValenceElectrons,molecular_descriptor,0.07783372735181456,0.07783372735181456,0.016000888992400618,0.016000888992400618,1.0,0.0,0.5,0.5,122.2,5,5
main_morgan_r3_295,molecular_fingerprint,0.07503157135136596,0.07503157135136596,-0.009933017018712674,-0.009933017018712674,1.0,0.0,0.6,0.6,77.0,5,5
P_x_curing_RingCount,molecular_descriptor,0.07143541674004464,0.07143541674004464,0.01044116965765446,0.01044116965765446,1.0,0.0,0.8,0.8,58.8,5,5
