feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
S_content_wt%_sqrt,elemental_composition,0.011804835917874,0.011804835917874,-0.0066406238837387,-0.0066406238837387,1.0,0.0,1.0,0.0,88.2,5,5,Low
curing_HeavyAtomCount,molecular_descriptor,0.0099915544601286,0.0124894430751608,-0.0078763774043388,-0.0098454717554236,0.8,0.0,0.5,0.5,130.4,4,5,Low
main_morgan_r2_7,molecular_fingerprint,0.0097088250651573,0.0485441253257867,-0.0076173534397131,-0.0380867671985656,0.2,0.0,1.0,0.0,168.6,1,5,Low
main_morgan_r2_76,molecular_fingerprint,0.00964078009178,0.00964078009178,-0.0021843598372314,-0.0021843598372314,1.0,0.0,1.0,0.0,98.6,5,5,Low
main_morgan_r2_37,molecular_fingerprint,0.0096377868987082,0.0481889344935412,0.0030233139259657,0.0151165696298285,0.2,0.0,1.0,1.0,173.0,1,5,Low
main_morgan_r2_108,molecular_fingerprint,0.0094671992284888,0.0094671992284888,-0.0066504060059186,-0.0066504060059186,1.0,0.0,0.6666666666666666,0.3333333333333333,100.2,5,5,Low
S_content_wt%_sq,elemental_composition,0.0086762581900352,0.010845322737544,-0.006839661095102,-0.0085495763688775,0.8,0.0,0.75,0.25,109.0,4,5,Low
P_x_curing_RingCount,molecular_descriptor,0.0086657767747648,0.0433288838738241,-0.0001313111911981,-0.0006565559559907,0.2,0.0,1.0,0.0,172.0,1,5,Low
P_x_curing_AromaticRings,molecular_descriptor,0.0083033206949058,0.0415166034745291,-0.0030887870414134,-0.0154439352070673,0.2,0.0,1.0,0.0,172.4,1,5,Low
main_morgan_r2_69,molecular_fingerprint,0.008294322311027,0.0138238705183783,0.0012650328668944,0.0021083881114907,0.6,0.0,0.6666666666666666,0.6666666666666666,132.0,3,5,Low
main_morgan_r2_77,molecular_fingerprint,0.0072898717845414,0.0091123397306768,-0.0033271186964858,-0.0041588983706072,0.8,0.0,1.0,0.0,121.4,4,5,Low
Synergy_flag(single=0&synergy=1),other,0.0071958506865253,0.0071958506865253,0.000619448794964,0.000619448794964,1.0,0.0,0.6666666666666666,0.6666666666666666,92.4,5,5,Low
P_B_loading_sum,formulation_loading,0.0071863313604692,0.0119772189341154,0.0014622592878469,0.0024370988130782,0.6,0.0,0.6666666666666666,0.6666666666666666,131.0,3,5,Low
main_morgan_r2_19,molecular_fingerprint,0.0068494929688481,0.0342474648442405,-7.720845536543783e-05,-0.0003860422768271,0.2,0.0,1.0,0.0,169.2,1,5,Low
main_morgan_r2_74,molecular_fingerprint,0.006541518930667,0.0081768986633337,-0.0012301199468143,-0.0015376499335179,0.8,0.0,0.6666666666666666,0.3333333333333333,116.6,4,5,Low
curing_RingCount,molecular_descriptor,0.0063392748696005,0.0063392748696005,-0.00268383655367,-0.00268383655367,1.0,0.0,0.5,0.5,121.0,5,5,Low
main_morgan_r2_51,molecular_fingerprint,0.0060419592855498,0.010069932142583,0.0001167798764382,0.0001946331273971,0.6,0.0,0.5,0.5,137.8,3,5,Low
curing_Kappa3,molecular_descriptor,0.005751160868243,0.0095852681137384,-0.0037767666316009,-0.0062946110526681,0.6,0.0,1.0,0.0,150.8,3,5,Low
main_morgan_r2_111,molecular_fingerprint,0.0057097970446442,0.0142744926116105,-0.0009935462669029,-0.0024838656672574,0.4,0.0,1.0,0.0,161.2,2,5,Low
main_morgan_r2_3,molecular_fingerprint,0.0055317584956038,0.0092195974926731,0.0005982405795845,0.0009970676326408,0.6,0.0,0.6666666666666666,0.6666666666666666,128.0,3,5,Low
N/P_ratio_sqrt,elemental_composition,0.0055085743990166,0.0055085743990166,-0.0008370761248245,-0.0008370761248245,1.0,0.0,1.0,0.0,98.4,5,5,Low
curing_morgan_r2_10,molecular_fingerprint,0.0053940903374701,0.0053940903374701,0.0006074378750441,0.0006074378750441,1.0,0.0,0.75,0.75,109.6,5,5,Low
P_loading_real_sq,formulation_loading,0.0052458763123752,0.0262293815618763,-0.0009588771625063,-0.0047943858125318,0.2,0.0,1.0,0.0,176.6,1,5,Low
main_morgan_r2_90,molecular_fingerprint,0.0050589728943524,0.0084316214905874,0.0002522873552666,0.0004204789254443,0.6,0.0,0.5,0.5,142.0,3,5,Low
main_morgan_r2_41,molecular_fingerprint,0.0049350911077267,0.0082251518462111,0.0035190005422725,0.0058650009037875,0.6,0.0,1.0,1.0,135.8,3,5,Low
curing_BalabanJ,molecular_descriptor,0.004882812960852,0.0244140648042601,0.0020777518069914,0.0103887590349574,0.2,0.0,1.0,1.0,179.0,1,5,Low
main_co_similarity,other,0.0048126860229608,0.0080211433716014,-0.0048126860229608,-0.0080211433716014,0.6,0.0,1.0,0.0,137.2,3,5,Low
main_morgan_r2_122,molecular_fingerprint,0.0047395789636861,0.0078992982728102,0.0007941271432565,0.0013235452387609,0.6,0.0,1.0,1.0,141.6,3,5,Low
main_morgan_r2_85,molecular_fingerprint,0.0045925090204064,0.0229625451020323,-0.001378665729784,-0.0068933286489202,0.2,0.0,1.0,0.0,170.8,1,5,Low
main_morgan_r2_54,molecular_fingerprint,0.0045493577599812,0.022746788799906,0.0017388563302273,0.0086942816511369,0.2,0.0,1.0,1.0,177.6,1,5,Low
main_morgan_r2_106,molecular_fingerprint,0.0044497065307326,0.0044497065307326,0.0009859094353198,0.0009859094353198,1.0,0.0,0.5,0.5,108.8,5,5,Low
curing_BertzCT,molecular_descriptor,0.0043752966130333,0.0054691207662916,-0.0001828593521146,-0.0002285741901432,0.8,0.0,0.5,0.5,136.4,4,5,Low
main_morgan_r2_32,molecular_fingerprint,0.0036815611923656,0.0061359353206094,0.0015218043585333,0.0025363405975556,0.6,0.0,1.0,1.0,144.8,3,5,Low
main_morgan_r2_94,molecular_fingerprint,0.0035288179924543,0.0058813633207572,-0.0008531192480573,-0.0014218654134289,0.6,0.0,1.0,0.0,143.2,3,5,Low
