feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
P_loading_real,formulation_loading,0.0459423521399504,0.0459423521399504,-0.0018079437750992,-0.0018079437750992,1.0,0.0,0.6,0.6,74.6,5,5,Low
curing_Kappa2,molecular_descriptor,0.0434051379541288,0.1085128448853222,0.0046374237131439,0.0115935592828598,0.4,0.0,1.0,1.0,277.8,2,5,Low
main_morgan_r3_199,molecular_fingerprint,0.042925752199768,0.10731438049942,-0.0147785021995185,-0.0369462554987964,0.4,0.0,1.0,0.0,301.2,2,5,Low
P_x_CuringAgent_Has_N,molecular_descriptor,0.0424273372826476,0.2121366864132384,0.0005664016497838,0.0028320082489194,0.2,0.0,1.0,1.0,346.4,1,5,Low
curing_BalabanJ,molecular_descriptor,0.0405423890798227,0.0506779863497784,0.0234238655314052,0.0292798319142565,0.8,0.0,1.0,1.0,163.2,4,5,Low
curing_FractionCSP3,molecular_descriptor,0.0388991012280824,0.0388991012280824,0.0086322157004744,0.0086322157004744,1.0,0.0,1.0,1.0,131.8,5,5,Low
curing_AromaticRings,molecular_descriptor,0.0386120769054697,0.0482650961318372,0.0150059567317539,0.0187574459146923,0.8,0.0,1.0,1.0,197.0,4,5,Low
main_morgan_r3_95,molecular_fingerprint,0.0379439240979029,0.0379439240979029,0.005696788278747,0.005696788278747,1.0,0.0,0.75,0.75,108.8,5,5,Low
main_morgan_r3_55,molecular_fingerprint,0.0374662804423666,0.0468328505529583,-0.0145819248470851,-0.0182274060588564,0.8,0.0,0.75,0.25,146.4,4,5,Low
main_morgan_r3_233,molecular_fingerprint,0.0371941623419471,0.0619902705699119,-0.0050480296115694,-0.0084133826859491,0.6,0.0,0.6666666666666666,0.3333333333333333,208.8,3,5,Low
main_morgan_r3_326,molecular_fingerprint,0.0361987102195492,0.0603311836992487,-0.0143218289045902,-0.0238697148409837,0.6,0.0,0.6666666666666666,0.3333333333333333,231.6,3,5,Low
main_morgan_r3_119,molecular_fingerprint,0.0357317571077081,0.0595529285128469,0.0210452767722308,0.0350754612870514,0.6,0.0,1.0,1.0,236.2,3,5,Low
main_morgan_r3_360,molecular_fingerprint,0.0350014159612183,0.0437517699515229,-0.0191512018571191,-0.0239390023213989,0.8,0.0,0.5,0.5,196.4,4,5,Low
P_content_sq,elemental_composition,0.0342944898988261,0.0342944898988261,0.0060321331950129,0.0060321331950129,1.0,0.0,0.8,0.8,88.2,5,5,Low
P_x_CuringAgent_Has_S,molecular_descriptor,0.033945711243003,0.0424321390537537,0.0220926292949351,0.0276157866186689,0.8,0.0,0.75,0.75,159.8,4,5,Low
main_morgan_r3_507,molecular_fingerprint,0.0338962774449275,0.0564937957415459,-0.0105565512156085,-0.0175942520260143,0.6,0.0,0.6666666666666666,0.3333333333333333,219.6,3,5,Low
main_morgan_r3_146,molecular_fingerprint,0.0336872727292895,0.0842181818232239,0.0110088111867382,0.0275220279668455,0.4,0.0,0.5,0.5,283.8,2,5,Low
S/P ratio,elemental_composition,0.0331715236055876,0.0414644045069845,-0.0186821257882661,-0.0233526572353326,0.8,0.0,0.75,0.25,167.6,4,5,Low
curing_morgan_r3_337,molecular_fingerprint,0.0326573355802867,0.0544288926338112,0.0093476555256326,0.0155794258760543,0.6,0.0,0.6666666666666666,0.6666666666666666,218.6,3,5,Low
curing_RingCount,molecular_descriptor,0.0316096608899706,0.0316096608899706,0.0316096608899706,0.0316096608899706,1.0,0.0,1.0,1.0,160.0,5,5,Low
Loading_total_FR_sq,formulation_loading,0.030038962192265,0.030038962192265,-0.0102695359476209,-0.0102695359476209,1.0,0.0,0.6,0.4,84.4,5,5,Low
main_morgan_r3_231,molecular_fingerprint,0.0283649042127761,0.1418245210638808,-0.0009894973043744,-0.0049474865218723,0.2,0.0,1.0,0.0,349.8,1,5,Low
Synergy_type_P-N-S,other,0.0283350474182756,0.0354188092728445,0.0205461644642294,0.0256827055802868,0.8,0.0,1.0,1.0,188.4,4,5,Low
main_Kappa2,other,0.0277992313742835,0.1389961568714177,0.0040379852764483,0.0201899263822418,0.2,0.0,1.0,1.0,350.2,1,5,Low
curing_Kappa1,molecular_descriptor,0.0273363163473679,0.0273363163473679,0.0015104929894527,0.0015104929894527,1.0,0.0,0.75,0.75,105.4,5,5,Low
main_morgan_r3_303,molecular_fingerprint,0.0267735079319962,0.0267735079319962,0.0267474144885545,0.0267474144885545,1.0,0.0,1.0,1.0,173.8,5,5,Low
main_morgan_r3_209,molecular_fingerprint,0.026152798711472,0.026152798711472,0.0033286774805197,0.0033286774805197,1.0,0.0,0.8,0.8,112.0,5,5,Low
main_morgan_r3_80,molecular_fingerprint,0.0261241616415567,0.0261241616415567,-0.0017607078317165,-0.0017607078317165,1.0,0.0,0.75,0.25,102.4,5,5,Low
main_AromaticRings,molecular_descriptor,0.0259345544958624,0.032418193119828,0.0034501312638277,0.0043126640797847,0.8,0.0,0.6666666666666666,0.6666666666666666,167.0,4,5,Low
main_AromaticHeterocycles,other,0.0254135409081958,0.0635338522704895,-0.0024409316898586,-0.0061023292246466,0.4,0.0,0.5,0.5,282.4,2,5,Low
main_morgan_r3_425,molecular_fingerprint,0.0250555316254181,0.0313194145317727,0.001138829950642,0.0014235374383025,0.8,0.0,1.0,1.0,197.6,4,5,Low
main_morgan_r3_406,molecular_fingerprint,0.0249774820761867,0.0416291367936445,0.0031695941091661,0.0052826568486102,0.6,0.0,0.6666666666666666,0.3333333333333333,236.4,3,5,Low
main_morgan_r3_363,molecular_fingerprint,0.0248001243865486,0.0310001554831857,0.0153037028724006,0.0191296285905008,0.8,0.0,0.75,0.75,158.6,4,5,Low
N_content_wt%_sq,elemental_composition,0.0246782530544118,0.0616956326360296,-0.0043103610625904,-0.0107759026564761,0.4,0.0,1.0,0.0,282.4,2,5,Low
main_morgan_r3_289,molecular_fingerprint,0.0246399781224317,0.1231998906121588,-0.0030171422710538,-0.0150857113552693,0.2,0.0,1.0,0.0,350.6,1,5,Low
main_morgan_r3_60,molecular_fingerprint,0.023191981486048,0.023191981486048,-0.0032100228782909,-0.0032100228782909,1.0,0.0,0.5,0.5,121.0,5,5,Low
main_morgan_r3_379,molecular_fingerprint,0.0226200200733211,0.1131001003666056,-0.007919853778349,-0.0395992688917451,0.2,0.0,1.0,0.0,350.8,1,5,Low
main_morgan_r3_92,molecular_fingerprint,0.0224846026622172,0.1124230133110864,-0.0224846026622172,-0.1124230133110864,0.2,0.0,1.0,0.0,351.0,1,5,Low
main_Kappa3,other,0.0221725510694048,0.1108627553470244,0.0009305073112649,0.0046525365563246,0.2,0.0,1.0,1.0,351.8,1,5,Low
main_morgan_r3_13,molecular_fingerprint,0.0220363738623758,0.0550909346559395,0.0175192290739052,0.0437980726847632,0.4,0.0,1.0,1.0,301.4,2,5,Low
main_morgan_r3_307,molecular_fingerprint,0.0219443844368549,0.0365739740614249,-0.0072712607414243,-0.0121187679023739,0.6,0.0,1.0,0.0,227.4,3,5,Low
main_morgan_r3_330,molecular_fingerprint,0.0208670220395024,0.026083777549378,-0.0037806411997578,-0.0047258014996973,0.8,0.0,0.75,0.25,159.8,4,5,Low
main_MolWt,molecular_descriptor,0.0208347119797577,0.1041735598987886,0.0003615886257504,0.0018079431287521,0.2,0.0,1.0,1.0,352.4,1,5,Low
main_morgan_r3_317,molecular_fingerprint,0.0207567056953881,0.0207567056953881,-0.0167997410790477,-0.0167997410790477,1.0,0.0,0.6666666666666666,0.3333333333333333,142.0,5,5,Low
main_morgan_r3_226,molecular_fingerprint,0.0202399903680197,0.0252999879600247,0.0197290320908478,0.0246612901135597,0.8,0.0,0.75,0.75,170.4,4,5,Low
Synergy_type_P-Si,other,0.0201724338966068,0.0252155423707585,0.0091407646918022,0.0114259558647528,0.8,0.0,0.75,0.75,183.2,4,5,Low
curing_morgan_r3_231,molecular_fingerprint,0.0192121041623392,0.0320201736038987,0.0192121041623392,0.0320201736038987,0.6,0.0,1.0,1.0,236.0,3,5,Low
P_x_curing_AromaticRings,molecular_descriptor,0.0188083867660413,0.0940419338302065,0.0040899954133977,0.0204499770669887,0.2,0.0,1.0,1.0,351.4,1,5,Low
main_morgan_r3_399,molecular_fingerprint,0.0188023498944078,0.0235029373680097,-0.0001654443987785,-0.0002068054984731,0.8,0.0,0.75,0.25,172.8,4,5,Low
Si_content wt%,elemental_composition,0.0187903623180835,0.0234879528976044,-0.0020191757862991,-0.0025239697328739,0.8,0.0,0.5,0.5,159.4,4,5,Low
main_morgan_r3_191,molecular_fingerprint,0.0187329225120257,0.0187329225120257,0.0008223019664453,0.0008223019664453,1.0,0.0,0.5,0.5,118.4,5,5,Low
main_morgan_r3_374,molecular_fingerprint,0.0183521080143686,0.0229401350179607,0.0047464732513315,0.0059330915641644,0.8,0.0,0.75,0.75,167.4,4,5,Low
main_morgan_r3_495,molecular_fingerprint,0.0181053807959553,0.0181053807959553,-0.001158538303201,-0.001158538303201,1.0,0.0,0.6666666666666666,0.6666666666666666,158.2,5,5,Low
Preparation_Method_DOPO-based (Co-curing),molecular_descriptor,0.0178589130818274,0.0297648551363791,-0.0033162342916087,-0.0055270571526812,0.6,0.0,0.6666666666666666,0.3333333333333333,219.0,3,5,Low
main_morgan_r3_305,molecular_fingerprint,0.0175720024313885,0.0292866707189809,0.0035816463744677,0.0059694106241129,0.6,0.0,0.5,0.5,246.6,3,5,Low
main_morgan_r3_328,molecular_fingerprint,0.0171443991677628,0.0857219958388143,0.0084985256186789,0.0424926280933949,0.2,0.0,1.0,1.0,351.6,1,5,Low
main_morgan_r3_227,molecular_fingerprint,0.0169922841569803,0.0169922841569803,0.0005700568991629,0.0005700568991629,1.0,0.0,0.75,0.75,134.6,5,5,Low
main_morgan_r3_243,molecular_fingerprint,0.016669797538771,0.0208372469234638,0.0008720907081453,0.0010901133851816,0.8,0.0,0.5,0.5,219.8,4,5,Low
S_loading_real,formulation_loading,0.0164277162030339,0.0821385810151696,-0.0065643816341956,-0.0328219081709782,0.2,0.0,1.0,0.0,353.4,1,5,Low
N_content_wt%_sqrt,elemental_composition,0.0163580804679389,0.0272634674465649,0.0055449959080379,0.0092416598467299,0.6,0.0,1.0,1.0,232.6,3,5,Low
S_content_wt%_sqrt,elemental_composition,0.0163514864014039,0.0204393580017548,0.004580803979891,0.0057260049748637,0.8,0.0,0.6666666666666666,0.6666666666666666,173.2,4,5,Low
main_morgan_r3_314,molecular_fingerprint,0.0157768446116016,0.0788842230580081,0.0090029706532788,0.0450148532663944,0.2,0.0,1.0,1.0,352.0,1,5,Low
P_B_loading_sum,formulation_loading,0.0157434510691641,0.0157434510691641,-8.671336107821566e-05,-8.671336107821566e-05,1.0,0.0,0.6666666666666666,0.6666666666666666,147.4,5,5,Low
main_morgan_r3_246,molecular_fingerprint,0.0152424859807015,0.0190531074758769,-0.0089775478944303,-0.0112219348680378,0.8,0.0,1.0,0.0,201.0,4,5,Low
curing_morgan_r3_477,molecular_fingerprint,0.0151715581047443,0.0189644476309304,0.0119548609478838,0.0149435761848548,0.8,0.0,0.6666666666666666,0.6666666666666666,204.6,4,5,Low
main_morgan_r3_183,molecular_fingerprint,0.0150273915455176,0.0250456525758627,0.0004041724528554,0.0006736207547591,0.6,0.0,0.5,0.5,243.4,3,5,Low
main_morgan_r3_164,molecular_fingerprint,0.0150216556670515,0.0751082783352575,0.0150216556670515,0.0751082783352575,0.2,0.0,1.0,1.0,351.6,1,5,Low
main_morgan_r3_120,molecular_fingerprint,0.0148798323075666,0.0743991615378332,-0.0148798323075666,-0.0743991615378332,0.2,0.0,1.0,0.0,351.8,1,5,Low
N/P_ratio_sq,elemental_composition,0.0148571639660106,0.0148571639660106,-0.0047074761904306,-0.0047074761904306,1.0,0.0,0.75,0.25,118.2,5,5,Low
Loading_total_FR_sqrt,formulation_loading,0.0147925294760875,0.0147925294760875,0.0018413825812253,0.0018413825812253,1.0,0.0,0.6,0.4,106.6,5,5,Low
main_morgan_r3_33,molecular_fingerprint,0.0146771419909499,0.0366928549773749,-0.0033973597702734,-0.0084933994256836,0.4,0.0,1.0,0.0,286.2,2,5,Low
main_morgan_r3_14,molecular_fingerprint,0.0145552972531446,0.0181941215664307,0.0006285660830412,0.0007857076038015,0.8,0.0,0.75,0.25,177.6,4,5,Low
main_morgan_r3_21,molecular_fingerprint,0.0136073681233953,0.0170092101542441,-0.0016445772610033,-0.0020557215762541,0.8,0.0,0.5,0.5,208.8,4,5,Low
main_morgan_r3_70,molecular_fingerprint,0.0133835808981158,0.0133835808981158,0.0022600632777903,0.0022600632777903,1.0,0.0,0.5,0.5,133.8,5,5,Low
main_morgan_r3_51,molecular_fingerprint,0.0133279238823042,0.0166599048528803,-4.4293743696201306e-05,-5.536717962025163e-05,0.8,0.0,0.6666666666666666,0.3333333333333333,208.2,4,5,Low
main_morgan_r3_423,molecular_fingerprint,0.0133094153303935,0.0166367691629919,-0.0002312970570993,-0.0002891213213741,0.8,0.0,0.6666666666666666,0.3333333333333333,195.8,4,5,Low
main_morgan_r3_341,molecular_fingerprint,0.0130712743064181,0.0653563715320908,0.0049992991547203,0.0249964957736018,0.2,0.0,1.0,1.0,352.8,1,5,Low
main_AromaticCarbocycles,other,0.0130263754549585,0.0162829693186982,-0.0010595006204743,-0.0013243757755929,0.8,0.0,1.0,0.0,185.8,4,5,Low
