task,feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level,source_csv,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note,child_importance_rank
THR,Main_FR_fraction,formulation_loading,1.4992342137489658,1.4992342137489658,0.062239591717442,0.062239591717442,1.0,0.6,0.6666666666666666,0.6666666666666666,14.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,Main FR fraction,主阻燃剂质量分数,formulation_loading,base_or_transform,none,main_fraction,Base and mathematical transforms merged into one parent variable.,6
THR,P_x_curing_LogP,molecular_descriptor,1.3458845468765612,1.3458845468765612,-0.1275378083036738,-0.1275378083036738,1.0,1.0,0.8,0.2,7.0,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,7
THR,P_x_curing_TPSA,molecular_descriptor,0.7939261879659099,0.7939261879659099,0.0010772952839857,0.0010772952839857,1.0,1.0,0.6,0.4,10.4,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,interaction,none,p_curing_tpsa,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,8
THR,P_x_curing_HBA,molecular_descriptor,0.7927312184398762,0.7927312184398762,-0.0819181053004914,-0.0819181053004914,1.0,1.0,0.6,0.6,10.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,interaction,none,p_curing_hba,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,9
THR,P_loading_real_sqrt,formulation_loading,0.7506064517460281,0.7506064517460281,0.0031551194196316,0.0031551194196316,1.0,0.8,0.6,0.4,13.0,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,FR loading × P-content interaction,阻燃剂添加量×磷含量交互,formulation_interaction,base_or_transform,sqrt,loading_x_p_content,Base and mathematical transforms merged into one parent variable.,10
THR,N_loading_real_sqrt,formulation_loading,0.547191068538355,0.547191068538355,-0.026658234386424,-0.026658234386424,1.0,0.8,0.8,0.2,14.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,FR loading × N-content interaction,阻燃剂添加量×氮含量交互,formulation_interaction,base_or_transform,sqrt,loading_x_n_content,Base and mathematical transforms merged into one parent variable.,11
THR,Loading_total_FR wt%,formulation_loading,0.4865199349737598,0.4865199349737598,-0.0905255654276493,-0.0905255654276493,1.0,0.8,0.8,0.2,15.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,none,fr_loading,Base and mathematical transforms merged into one parent variable.,12
THR,P_x_curing_MolWt,molecular_descriptor,0.4823076634937015,0.4823076634937015,0.00515346437773,0.00515346437773,1.0,1.0,0.6,0.4,13.6,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,interaction,none,p_curing_molwt,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,13
THR,Loading_total_FR_sqrt,formulation_loading,0.4495413910422928,0.4495413910422928,-0.0589051261820855,-0.0589051261820855,1.0,0.8,0.8,0.2,15.0,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,sqrt,fr_loading,Base and mathematical transforms merged into one parent variable.,14
THR,P_x_curing_HeavyAtomCount,molecular_descriptor,0.2534989765106986,0.2534989765106986,-0.0245916861777899,-0.0245916861777899,1.0,0.8,0.8,0.2,18.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent HeavyAtomCount,磷含量×固化剂重原子数,molecular_interaction,interaction,none,p_curing_heavyatomcount,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,15
THR,P_x_CuringAgent_Has_N,molecular_descriptor,0.2432540555273287,0.2432540555273287,-0.0315090602188857,-0.0315090602188857,1.0,0.6,0.8,0.2,19.2,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.,16
THR,N_content_wt%_sqrt,elemental_composition,0.2298936247615285,0.2298936247615285,0.0258917423570433,0.0258917423570433,1.0,0.6,0.8,0.8,19.8,5,5,Medium,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,N content,氮含量,elemental_composition,base_or_transform,sqrt,n_content,Base and mathematical transforms merged into one parent variable.,17
THR,N/P ratio,elemental_composition,0.2092099872701806,0.2092099872701806,0.0141268291239985,0.0141268291239985,1.0,0.8,0.8,0.8,20.0,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\THR_SHAP_stable_features_filtered.csv,N/P ratio,N/P ratio,elemental_composition,direct,none,other,Direct mapping; review manually if used in the manuscript.,18
UL94_V0,P_x_CuringAgent_Has_N,molecular_descriptor,0.0120358207946915,0.0120358207946915,-0.0014413189230519,-0.0014413189230519,1.0,1.0,1.0,0.0,8.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.,1
UL94_V0,P_loading_x_Synergy,formulation_loading,0.0117135353648807,0.0117135353648807,-0.0008256591700151,-0.0008256591700151,1.0,1.0,0.8,0.2,13.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status.",2
UL94_V0,P_x_curing_LogP,molecular_descriptor,0.0110059049794027,0.0110059049794027,-0.001669943194897,-0.001669943194897,1.0,1.0,1.0,0.0,12.8,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,3
UL94_V0,P_x_curing_AromaticRings,molecular_descriptor,0.010965772587001,0.010965772587001,-0.0011006305567049,-0.0011006305567049,1.0,1.0,0.8,0.2,7.2,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,P content × curing-agent AromaticRings,磷含量×固化剂芳香环数,molecular_interaction,interaction,none,p_curing_aromaticrings,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,4
UL94_V0,P_x_curing_HBD,molecular_descriptor,0.010924584039996,0.010924584039996,-0.0014142471016913,-0.0014142471016913,1.0,1.0,0.8,0.2,7.4,5,5,High,results\05_Shap\FINAL_core_fixed_baseline_inclusive_5x5\figures\UL94_V0_SHAP_stable_features_filtered.csv,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,interaction,none,p_curing_hbd,Interaction feature coupling phosphorus loading/composition with curing-agent structure.,5
