feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
P_Si_loading_sum,formulation_loading,0.0277404341278469,0.0277404341278469,-0.0013595076388976,-0.0013595076388976,1.0,0.0,0.6,0.4,46.0,5,5,Low
main_FractionCSP3,molecular_descriptor,0.0249932418402666,0.0249932418402666,0.0022820632482128,0.0022820632482128,1.0,0.0,0.8,0.8,51.4,5,5,Low
main_AromaticRings,molecular_descriptor,0.0242046514821549,0.0242046514821549,-0.0029649391502673,-0.0029649391502673,1.0,0.2,0.6,0.6,53.4,5,5,Low
main_MolWt,molecular_descriptor,0.0238765171598171,0.0238765171598171,-0.000649853130494,-0.000649853130494,1.0,0.0,0.6,0.6,56.0,5,5,Low
P_x_curing_MolWt,molecular_descriptor,0.0238681694633059,0.0238681694633059,-0.0068338037211889,-0.0068338037211889,1.0,0.0,0.8,0.2,54.0,5,5,Low
curing_morgan_r2_10,molecular_fingerprint,0.0232598148191475,0.0232598148191475,0.005645197101062,0.005645197101062,1.0,0.2,0.6666666666666666,0.6666666666666666,146.0,5,5,Low
P_x_curing_FractionCSP3,molecular_descriptor,0.020853462954909,0.0260668286936363,-0.0029958696684852,-0.0037448370856066,0.8,0.0,0.5,0.5,98.8,4,5,Low
N/P_ratio_sq,elemental_composition,0.020381515499725,0.020381515499725,0.0006557365568208,0.0006557365568208,1.0,0.0,0.6,0.6,81.0,5,5,Low
P_content_log,elemental_composition,0.0199851041715566,0.0199851041715566,-0.0062741055797914,-0.0062741055797914,1.0,0.0,0.6,0.4,61.6,5,5,Low
P_B_loading_ratio,formulation_loading,0.0196573281229444,0.0196573281229444,-0.0058857351553197,-0.0058857351553197,1.0,0.0,0.6,0.4,76.4,5,5,Low
P_x_curing_HBA,molecular_descriptor,0.0191036448917133,0.0191036448917133,-0.0071026992133735,-0.0071026992133735,1.0,0.0,0.8,0.2,56.0,5,5,Low
N/P ratio,elemental_composition,0.0188216329661738,0.0188216329661738,-0.0021281798987039,-0.0021281798987039,1.0,0.0,0.6,0.4,64.0,5,5,Low
main_morgan_r2_126,molecular_fingerprint,0.0178931086206502,0.0178931086206502,-0.0051000961016846,-0.0051000961016846,1.0,0.0,0.6,0.6,81.2,5,5,Low
P_content_sqrt,elemental_composition,0.0178825184129108,0.0178825184129108,-0.0062326644195958,-0.0062326644195958,1.0,0.2,0.5,0.5,102.4,5,5,Low
P_x_curing_HeavyAtomCount,molecular_descriptor,0.0177696451975608,0.0177696451975608,-0.0059727081454362,-0.0059727081454362,1.0,0.0,1.0,0.0,84.4,5,5,Low
main_morgan_r2_33,molecular_fingerprint,0.0171599351831605,0.0171599351831605,-0.0020780122537713,-0.0020780122537713,1.0,0.0,0.75,0.25,72.6,5,5,Low
curing_TPSA,molecular_descriptor,0.0163806120974339,0.0163806120974339,0.0051651244412505,0.0051651244412505,1.0,0.0,0.6,0.4,55.2,5,5,Low
main_morgan_r2_94,molecular_fingerprint,0.0163731052903168,0.0163731052903168,0.003960744392783,0.003960744392783,1.0,0.0,0.6666666666666666,0.6666666666666666,124.8,5,5,Low
main_HeavyAtomCount,other,0.0160185171111611,0.0160185171111611,-0.0015598908854396,-0.0015598908854396,1.0,0.0,0.6,0.4,66.8,5,5,Low
main_morgan_r2_78,molecular_fingerprint,0.0154112100742612,0.0154112100742612,-0.0044437593876524,-0.0044437593876524,1.0,0.0,0.6,0.4,65.4,5,5,Low
main_morgan_r2_0,molecular_fingerprint,0.0146666303091374,0.0146666303091374,-0.0013143893040654,-0.0013143893040654,1.0,0.0,1.0,0.0,101.0,5,5,Low
curing_morgan_r2_80,molecular_fingerprint,0.0145757569891348,0.0364393924728372,0.002449452833557,0.0061236320838927,0.4,0.0,1.0,1.0,188.6,2,5,Low
P_x_curing_RingCount,molecular_descriptor,0.0139921791072786,0.0139921791072786,-0.0027680250872046,-0.0027680250872046,1.0,0.0,0.5,0.5,80.0,5,5,Low
P_content wt%,elemental_composition,0.0132897489473416,0.0132897489473416,-0.0039652866069628,-0.0039652866069628,1.0,0.0,0.6666666666666666,0.3333333333333333,134.8,5,5,Low
main_morgan_r2_5,molecular_fingerprint,0.0131061883325482,0.0131061883325482,-0.0014758607571234,-0.0014758607571234,1.0,0.0,1.0,0.0,102.2,5,5,Low
main_morgan_r2_23,molecular_fingerprint,0.0121235197485088,0.0121235197485088,0.0034056701333959,0.0034056701333959,1.0,0.0,0.75,0.75,102.4,5,5,Low
main_morgan_r2_90,molecular_fingerprint,0.0118224302612893,0.0118224302612893,0.0003289111153356,0.0003289111153356,1.0,0.0,0.75,0.75,88.6,5,5,Low
P_N_loading_ratio,formulation_loading,0.011726372254747,0.0146579653184338,-0.0009431518017473,-0.0011789397521842,0.8,0.0,0.75,0.25,117.4,4,5,Low
main_morgan_r2_36,molecular_fingerprint,0.0116079683167375,0.0116079683167375,-0.0003145044370789,-0.0003145044370789,1.0,0.0,0.5,0.5,125.6,5,5,Low
Loading_total_FR wt%,formulation_loading,0.0114885351573433,0.0114885351573433,-0.0032182689229748,-0.0032182689229748,1.0,0.0,0.75,0.25,77.6,5,5,Low
main_morgan_r2_105,molecular_fingerprint,0.0114757307671197,0.0114757307671197,0.0032473766911345,0.0032473766911345,1.0,0.0,1.0,1.0,147.0,5,5,Low
main_RotBonds,other,0.0113040191726419,0.0113040191726419,-0.0015089026914084,-0.0015089026914084,1.0,0.0,0.5,0.5,81.4,5,5,Low
main_morgan_r2_115,molecular_fingerprint,0.0110819653393193,0.0110819653393193,0.0039173115792837,0.0039173115792837,1.0,0.0,0.5,0.5,154.4,5,5,Low
N/P_ratio_sqrt,elemental_composition,0.0109652237989183,0.0109652237989183,-0.0009943879646595,-0.0009943879646595,1.0,0.0,0.8,0.2,79.2,5,5,Low
main_morgan_r2_58,molecular_fingerprint,0.0107397668818351,0.0107397668818351,0.0025303673570393,0.0025303673570393,1.0,0.0,1.0,1.0,104.2,5,5,Low
curing_morgan_r2_78,molecular_fingerprint,0.0107331696355948,0.0134164620444935,0.0002166910318239,0.0002708637897799,0.8,0.0,0.6666666666666666,0.6666666666666666,114.2,4,5,Low
curing_morgan_r2_49,molecular_fingerprint,0.0096193995129511,0.0096193995129511,-0.002436177317361,-0.002436177317361,1.0,0.0,0.6,0.4,73.6,5,5,Low
Loading_total_FR_sqrt,formulation_loading,0.0096142120180587,0.0096142120180587,-0.0026950319469683,-0.0026950319469683,1.0,0.0,0.75,0.25,98.2,5,5,Low
main_morgan_r2_37,molecular_fingerprint,0.0095477110934646,0.0095477110934646,0.0007191272737123,0.0007191272737123,1.0,0.0,0.5,0.5,95.4,5,5,Low
main_morgan_r2_107,molecular_fingerprint,0.0085416050396567,0.0085416050396567,-0.0015574599795949,-0.0015574599795949,1.0,0.0,1.0,0.0,157.2,5,5,Low
curing_MolWt,molecular_descriptor,0.0085248112727838,0.0085248112727838,0.0021629412065564,0.0021629412065564,1.0,0.0,1.0,1.0,120.2,5,5,Low
main_morgan_r2_77,molecular_fingerprint,0.0083512345820342,0.0083512345820342,-0.0016455063018373,-0.0016455063018373,1.0,0.0,0.6666666666666666,0.6666666666666666,121.6,5,5,Low
main_morgan_r2_102,molecular_fingerprint,0.0082710989020164,0.0082710989020164,0.0003592075319588,0.0003592075319588,1.0,0.0,0.75,0.25,111.2,5,5,Low
P_loading_real_sqrt,formulation_loading,0.0076924851356395,0.0076924851356395,-0.0028049152025589,-0.0028049152025589,1.0,0.0,1.0,0.0,130.0,5,5,Low
Si_loading_real_sqrt,formulation_loading,0.0074826458374541,0.0074826458374541,-0.0029238983928243,-0.0029238983928243,1.0,0.0,0.8,0.8,93.6,5,5,Low
P_B_loading_sum,formulation_loading,0.0074284435828424,0.0074284435828424,0.0003752739518477,0.0003752739518477,1.0,0.0,0.75,0.75,94.8,5,5,Low
main_morgan_r2_82,molecular_fingerprint,0.0071902425493223,0.0071902425493223,-0.0022300881417415,-0.0022300881417415,1.0,0.0,0.75,0.25,99.8,5,5,Low
main_morgan_r2_12,molecular_fingerprint,0.0067690114192759,0.0084612642740949,0.003299251562883,0.0041240644536037,0.8,0.0,0.5,0.5,145.2,4,5,Low
main_morgan_r2_74,molecular_fingerprint,0.0065532688277481,0.0065532688277481,0.0019310873736568,0.0019310873736568,1.0,0.0,1.0,1.0,124.2,5,5,Low
Synergy_type_P-N,other,0.0061524402058366,0.0061524402058366,-0.0015803640570923,-0.0015803640570923,1.0,0.0,0.8,0.2,93.2,5,5,Low
main_morgan_r2_66,molecular_fingerprint,0.0061429804513779,0.0061429804513779,0.0014609822812703,0.0014609822812703,1.0,0.0,1.0,1.0,124.4,5,5,Low
main_morgan_r2_39,molecular_fingerprint,0.0060682555112252,0.0060682555112252,0.0007539841632949,0.0007539841632949,1.0,0.0,1.0,1.0,118.2,5,5,Low
main_morgan_r2_45,molecular_fingerprint,0.0058513173149808,0.0058513173149808,0.001468059761301,0.001468059761301,1.0,0.0,0.75,0.75,102.2,5,5,Low
curing_morgan_r2_33,molecular_fingerprint,0.0058221872212166,0.0072777340265208,0.0015260458084263,0.0019075572605328,0.8,0.0,0.6666666666666666,0.6666666666666666,132.0,4,5,Low
P_content_sq,elemental_composition,0.0057274610489023,0.0057274610489023,-0.0015103173299242,-0.0015103173299242,1.0,0.0,0.6666666666666666,0.3333333333333333,110.4,5,5,Low
main_morgan_r2_99,molecular_fingerprint,0.005610244804903,0.005610244804903,-0.0008442694709743,-0.0008442694709743,1.0,0.0,0.6666666666666666,0.3333333333333333,132.2,5,5,Low
main_morgan_r2_18,molecular_fingerprint,0.0054299082009901,0.0054299082009901,0.0018377377454086,0.0018377377454086,1.0,0.0,1.0,1.0,100.8,5,5,Low
curing_morgan_r2_12,molecular_fingerprint,0.0054213306908895,0.0054213306908895,-0.0029279393074516,-0.0029279393074516,1.0,0.0,0.5,0.5,109.4,5,5,Low
