feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r3_389,molecular_fingerprint,0.0002535969113062,0.0002535969113062,5.1627727567433146e-05,5.1627727567433146e-05,1.0,0.0,0.75,0.75,322.4,5,5,Low
main_morgan_r3_308,molecular_fingerprint,0.0002483817123916,0.0002483817123916,5.823895121999575e-05,5.823895121999575e-05,1.0,0.0,0.75,0.75,310.8,5,5,Low
main_morgan_r3_117,molecular_fingerprint,0.0002421977024101,0.0002421977024101,8.282729743456545e-05,8.282729743456545e-05,1.0,0.0,0.5,0.5,287.4,5,5,Low
main_morgan_r3_276,molecular_fingerprint,0.0002382043423981,0.0002382043423981,8.230406592537463e-05,8.230406592537463e-05,1.0,0.0,0.6666666666666666,0.6666666666666666,360.6,5,5,Low
main_morgan_r3_381,molecular_fingerprint,0.0002362810961609,0.0002362810961609,3.6936441231404408e-06,3.6936441231404408e-06,1.0,0.0,0.6,0.4,374.0,5,5,Low
main_morgan_r3_375,molecular_fingerprint,0.000235738805564,0.000235738805564,2.4095210930661466e-05,2.4095210930661466e-05,1.0,0.0,0.75,0.75,357.8,5,5,Low
main_morgan_r3_230,molecular_fingerprint,0.0002354138328612,0.0002354138328612,-3.6125481090080144e-05,-3.6125481090080144e-05,1.0,0.0,0.5,0.5,323.0,5,5,Low
main_morgan_r3_434,molecular_fingerprint,0.0002339092065611,0.0002339092065611,-9.158552181038089e-05,-9.158552181038089e-05,1.0,0.0,0.5,0.5,354.4,5,5,Low
main_morgan_r3_102,molecular_fingerprint,0.0002317160181879,0.0002317160181879,-4.1706873962821096e-05,-4.1706873962821096e-05,1.0,0.0,0.75,0.25,306.8,5,5,Low
Si_content wt%,elemental_composition,0.0002316705200012,0.0002316705200012,-3.892959196063353e-05,-3.892959196063353e-05,1.0,0.0,0.75,0.75,400.0,5,5,Low
main_morgan_r3_408,molecular_fingerprint,0.0002308878633813,0.0002886098292266,9.859934431864933e-05,0.0001232491803983,0.8,0.0,0.5,0.5,403.4,4,5,Low
main_morgan_r3_354,molecular_fingerprint,0.0002303518731251,0.0002303518731251,-7.476794963852425e-05,-7.476794963852425e-05,1.0,0.0,0.5,0.5,330.8,5,5,Low
main_morgan_r3_361,molecular_fingerprint,0.0002299135753054,0.0002299135753054,8.274749629778294e-05,8.274749629778294e-05,1.0,0.0,0.5,0.5,351.0,5,5,Low
main_morgan_r3_407,molecular_fingerprint,0.0002283902307448,0.0002283902307448,-1.1118303394065771e-05,-1.1118303394065771e-05,1.0,0.0,0.5,0.5,336.2,5,5,Low
main_morgan_r3_476,molecular_fingerprint,0.000228380388305,0.000228380388305,4.271195239627444e-05,4.271195239627444e-05,1.0,0.0,0.5,0.5,356.2,5,5,Low
main_morgan_r3_305,molecular_fingerprint,0.0002273281448765,0.0002273281448765,-5.57520820630625e-05,-5.57520820630625e-05,1.0,0.0,0.5,0.5,318.2,5,5,Low
main_morgan_r3_36,molecular_fingerprint,0.0002259173210318,0.0002259173210318,3.47688688944126e-07,3.47688688944126e-07,1.0,0.0,0.5,0.5,304.8,5,5,Low
main_morgan_r3_37,molecular_fingerprint,0.0002232208837969,0.0002232208837969,0.000128320616037,0.000128320616037,1.0,0.0,0.5,0.5,288.0,5,5,Low
main_morgan_r3_340,molecular_fingerprint,0.0002195233323742,0.0002195233323742,1.9822971520555147e-05,1.9822971520555147e-05,1.0,0.0,0.6,0.6,284.0,5,5,Low
Co_FR_present,other,0.0002179532410472,0.0002179532410472,-9.690208131250858e-05,-9.690208131250858e-05,1.0,0.0,0.5,0.5,291.6,5,5,Low
main_morgan_r3_394,molecular_fingerprint,0.0002169475116399,0.0002711843895498,4.304806543271319e-05,5.3810081790891485e-05,0.8,0.0,0.75,0.25,405.6,4,5,Low
main_morgan_r3_221,molecular_fingerprint,0.0002168406949437,0.0002168406949437,-4.06405358048229e-05,-4.06405358048229e-05,1.0,0.0,0.75,0.25,327.0,5,5,Low
main_morgan_r3_231,molecular_fingerprint,0.0002163628474324,0.0002163628474324,-5.322046285172474e-05,-5.322046285172474e-05,1.0,0.0,1.0,0.0,319.4,5,5,Low
main_morgan_r3_191,molecular_fingerprint,0.0002156692470533,0.0002156692470533,-8.054439365088941e-05,-8.054439365088941e-05,1.0,0.0,0.75,0.25,313.2,5,5,Low
main_morgan_r3_18,molecular_fingerprint,0.0002132672969535,0.0002132672969535,-8.273396530889066e-05,-8.273396530889066e-05,1.0,0.0,1.0,0.0,288.6,5,5,Low
main_morgan_r3_171,molecular_fingerprint,0.0002091250063662,0.0002091250063662,4.163765634748194e-05,4.163765634748194e-05,1.0,0.0,0.75,0.75,334.0,5,5,Low
B_content wt%,elemental_composition,0.0002087456131701,0.0002087456131701,-0.0001109434367428,-0.0001109434367428,1.0,0.0,0.75,0.25,336.2,5,5,Low
curing_morgan_r3_144,molecular_fingerprint,0.0002082721913681,0.0002082721913681,7.865004495720883e-07,7.865004495720883e-07,1.0,0.0,0.5,0.5,415.4,5,5,Low
main_morgan_r3_212,molecular_fingerprint,0.0002065411374756,0.0002065411374756,7.941918697171089e-05,7.941918697171089e-05,1.0,0.0,0.75,0.75,314.2,5,5,Low
main_morgan_r3_429,molecular_fingerprint,0.0002060779817764,0.0002060779817764,6.165267029835458e-05,6.165267029835458e-05,1.0,0.0,0.5,0.5,399.6,5,5,Low
curing_SaturatedRings,molecular_descriptor,0.0002051030507794,0.0002051030507794,0.0001378709060168,0.0001378709060168,1.0,0.0,0.6666666666666666,0.6666666666666666,460.0,5,5,Low
co_morgan_r3_486,molecular_fingerprint,0.0002045054357551,0.0003408423929252,-0.0002045054357551,-0.0003408423929252,0.6,0.0,1.0,0.0,498.8,3,5,Low
main_morgan_r3_401,molecular_fingerprint,0.0002042636144605,0.0002042636144605,-1.6571847971735873e-05,-1.6571847971735873e-05,1.0,0.0,0.5,0.5,358.0,5,5,Low
main_morgan_r3_155,molecular_fingerprint,0.0002037986099503,0.0002037986099503,-3.2796212267693164e-05,-3.2796212267693164e-05,1.0,0.0,1.0,0.0,306.4,5,5,Low
