task,grouping,group,n,R2,RMSE,MAE,Median_AE,MAE_bootstrap_CI_low,MAE_bootstrap_CI_high,reliable_threshold,caution_threshold
LOI,AD_zone_temp,In_domain,143,0.7115453718721669,2.3577067720090614,1.7216117765584253,1.2733215573108225,,,0.7,0.6
LOI,AD_zone_temp,Caution,482,0.7223906275651311,2.6847640337973226,2.0583563796413213,1.581694995160447,,,0.75,0.35
LOI,AD_zone_temp,Extrapolation,28,0.7291406819211061,2.3688634622845024,1.7909916653338236,1.3516842381047791,,,0.75,0.35
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.35
LOI,AD_zone_temp,Caution,450,0.724072358924104,2.6614446141632846,2.032515292923179,1.5527443222186292,,,0.75,0.4
LOI,AD_zone_temp,Extrapolation,60,0.6951996171493784,2.7199226874515143,2.1273943300172222,1.71238673488733,,,0.75,0.4
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.4
LOI,AD_zone_temp,Caution,421,0.7298672652104641,2.6401067209127276,2.0139085561671646,1.536803217309192,,,0.75,0.45
LOI,AD_zone_temp,Extrapolation,89,0.6838511627243974,2.798312650452709,2.1844948255066052,1.7995481481481086,,,0.75,0.45
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.45
LOI,AD_zone_temp,Caution,374,0.7257270830740534,2.607229643062827,1.9876275115708901,1.5318614092770844,,,0.75,0.5
LOI,AD_zone_temp,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,,,0.75,0.5
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.5
LOI,AD_zone_temp,Caution,297,0.7282973305666722,2.638435761339811,2.021756686902266,1.5687634293546822,,,0.75,0.55
LOI,AD_zone_temp,Extrapolation,213,0.7125030970310707,2.709606593367125,2.0742432188098174,1.5850740740740576,,,0.75,0.55
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.55
LOI,AD_zone_temp,Caution,214,0.708197998726293,2.4280692739494523,1.8800067146821957,1.5072582714753704,,,0.75,0.6
LOI,AD_zone_temp,Extrapolation,296,0.7299297573714865,2.829452211304408,2.162007110386737,1.6752616158799682,,,0.75,0.6
LOI,AD_zone_temp,In_domain,89,0.6717241370311269,2.3775832417764127,1.6880487104134918,1.2303798590220296,,,0.75,0.6
LOI,AD_zone_temp,Caution,523,0.7158179242227494,2.697342120963566,2.046956253321467,1.536803217309192,,,0.8,0.35
LOI,AD_zone_temp,Extrapolation,28,0.7291406819211061,2.3688634622845024,1.7909916653338236,1.3516842381047791,,,0.8,0.35
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.35
LOI,AD_zone_temp,Caution,491,0.716792207527618,2.6769023888059964,2.0225299945324666,1.5028232820313434,,,0.8,0.4
LOI,AD_zone_temp,Extrapolation,60,0.6951996171493784,2.7199226874515143,2.1273943300172222,1.71238673488733,,,0.8,0.4
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.4
LOI,AD_zone_temp,Caution,462,0.7217501330256741,2.6585524937135996,2.0049477221783256,1.4897379335725205,,,0.8,0.45
LOI,AD_zone_temp,Extrapolation,89,0.6838511627243974,2.798312650452709,2.1844948255066052,1.7995481481481086,,,0.8,0.45
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.45
LOI,AD_zone_temp,Caution,415,0.7166882087925959,2.6312539291909336,1.9802482766928275,1.4776828958039303,,,0.8,0.5
LOI,AD_zone_temp,Extrapolation,136,0.7141854905122766,2.82977648384153,2.1978150903599336,1.7808338840493434,,,0.8,0.5
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.5
LOI,AD_zone_temp,Caution,338,0.7171368392751244,2.663833240824404,2.0085564541715484,1.5034757646712258,,,0.8,0.55
LOI,AD_zone_temp,Extrapolation,213,0.7125030970310707,2.709606593367125,2.0742432188098174,1.5850740740740576,,,0.8,0.55
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.55
LOI,AD_zone_temp,Caution,255,0.6936646853586161,2.4990766624270164,1.8853011076156874,1.4684670238049478,,,0.8,0.6
LOI,AD_zone_temp,Extrapolation,296,0.7299297573714865,2.829452211304408,2.162007110386737,1.6752616158799682,,,0.8,0.6
LOI,AD_zone_temp,In_domain,48,0.7388518932284833,1.8939414797686651,1.4959581193081328,1.3073751587039446,,,0.8,0.6
