Candidate_ID,Candidate_Name,Parent_Seed_ID,Parent_Name,Transformation_Code,Design_Change,Attachment_Position,Canonical_SMILES,Molecular_Formula,Molecular_Weight,DOPO_Count_Computed,Design_Family,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Strict_Screening_Eligible,Parent_Tanimoto_r3,Max_Train_Tanimoto_r3,Nearest_Training_ID,Nearest_Training_Name,Fragment_Count,Formal_Charge,Radical_Electrons,Heavy_Atom_Count,Risk_Flags
CAND_R2_332,BDO-NH-methyl,TRAIN_122,BDO,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 1.",NH_site_1,CN(c1n[nH]c(NC(c2cccs2)P2(=O)Oc3ccccc3-c3ccccc32)n1)C(CP1(=O)Oc2ccccc2-c2ccccc21)c1cccs1,C38H31N5O4P2S2,747.7790000000002,2,P-N-S,N-methyl,none,Additive,B,True,0.6403508771929824,0.6403508771929824,TRAIN_122,BDO,1,0,0,51,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_333,BDO-NH-methyl-2,TRAIN_122,BDO,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 2.",NH_site_2,CN(c1nc(NC(CP2(=O)Oc3ccccc3-c3ccccc32)c2cccs2)n[nH]1)C(c1cccs1)P1(=O)Oc2ccccc2-c2ccccc21,C38H31N5O4P2S2,747.7790000000002,2,P-N-S,N-methyl,none,Additive,B,True,0.6228070175438597,0.6228070175438597,TRAIN_122,BDO,1,0,0,51,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_334,BDO-NH-hydroxyethyl,TRAIN_122,BDO,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.,NH_site_1,O=P1(CC(c2cccs2)N(CCO)c2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)Oc2ccccc2-c2ccccc21,C39H33N5O5P2S2,777.8050000000002,2,P-N-S,N-hydroxyethyl,OH,Additive,B,True,0.6186440677966102,0.6186440677966102,TRAIN_122,BDO,1,0,0,53,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_335,BDO-NH-hydroxyethyl-2,TRAIN_122,BDO,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 2.,NH_site_2,O=P1(CC(Nc2n[nH]c(N(CCO)C(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2cccs2)Oc2ccccc2-c2ccccc21,C39H33N5O5P2S2,777.8050000000002,2,P-N-S,N-hydroxyethyl,OH,Additive,B,True,0.5916666666666667,0.5916666666666667,TRAIN_122,BDO,1,0,0,53,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_336,BDO-NH-glycidyl,TRAIN_122,BDO,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 1.,NH_site_1,O=P1(CC(c2cccs2)N(CC2CO2)c2n[nH]c(NC(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)Oc2ccccc2-c2ccccc21,C40H33N5O5P2S2,789.8160000000001,2,P-N-S,N-glycidyl,epoxy,Co-curing,B,True,0.5983606557377049,0.5983606557377049,TRAIN_122,BDO,1,0,0,54,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_337,BDO-NH-glycidyl-2,TRAIN_122,BDO,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 2.,NH_site_2,O=P1(CC(Nc2n[nH]c(N(CC3CO3)C(c3cccs3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2cccs2)Oc2ccccc2-c2ccccc21,C40H33N5O5P2S2,789.8160000000001,2,P-N-S,N-glycidyl,epoxy,Co-curing,B,True,0.5725806451612904,0.5725806451612904,TRAIN_122,BDO,1,0,0,54,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_338,BDO-aromatic-S-to-O,TRAIN_122,BDO,aromatic_S_to_O,Replaced aromatic sulfur site 1 by oxygen.,S_site_1,O=P1(CC(Nc2n[nH]c(NC(c3ccco3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2cccs2)Oc2ccccc2-c2ccccc21,C37H29N5O5P2S,717.6840000000002,2,P-N-S,heteroaromatic-S/O-analogue,none,Co-curing,B,True,0.8058252427184466,0.8058252427184466,TRAIN_122,BDO,1,0,0,50,none
CAND_R2_339,BDO-aromatic-S-to-O-all,TRAIN_122,BDO,aromatic_S_to_O_all,Replaced all aromatic sulfur atoms by oxygen.,all_aromatic_S,O=P1(CC(Nc2n[nH]c(NC(c3ccco3)P3(=O)Oc4ccccc4-c4ccccc43)n2)c2ccco2)Oc2ccccc2-c2ccccc21,C37H29N5O6P2,701.6160000000002,2,P-N,heteroaromatic-S/O-analogue-all,none,Additive,B,True,0.6363636363636364,0.723404255319149,TRAIN_125,FGD,1,0,0,50,large structural change from parent
CAND_R2_340,TDA-amino,TRAIN_010,TDA,amino,Added amino at aromatic atom 47.,DOPO_core_aromatic,CCO[Si](CCCNCC(O)Cn1c(=O)n(CC(O)CNCCC[Si](OCC)(OCC)OCC)c(=O)n(CC(O)CP2(=O)Oc3ccc(N)cc3-c3ccccc32)c1=O)(OCC)OCC,C42H71N6O14PSi2,971.2040000000001,1,P-N-Si,aryl-amino,NH2,Co-curing,B,True,0.7777777777777778,0.7777777777777778,TRAIN_010,TDA,1,0,0,65,DOPO-core substitution route needs confirmation
CAND_R2_341,TDA-hydroxy,TRAIN_010,TDA,hydroxy,Added hydroxy at aromatic atom 47.,DOPO_core_aromatic,CCO[Si](CCCNCC(O)Cn1c(=O)n(CC(O)CNCCC[Si](OCC)(OCC)OCC)c(=O)n(CC(O)CP2(=O)Oc3ccc(O)cc3-c3ccccc32)c1=O)(OCC)OCC,C42H70N5O15PSi2,972.1880000000002,1,P-N-Si,aryl-hydroxy,OH,Additive,B,True,0.7777777777777778,0.7777777777777778,TRAIN_010,TDA,1,0,0,65,DOPO-core substitution route needs confirmation
