feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
main_morgan_r2_107,molecular_fingerprint,6.6961627171029985,6.6961627171029985,-0.5472845828179158,-0.5472845828179158,1.0,0.6,0.6,0.4,27.0,5,5
P_x_curing_MolWt,molecular_descriptor,5.4617755821703415,5.4617755821703415,0.4772549311400825,0.4772549311400825,1.0,0.6,0.6,0.4,19.2,5,5
main_morgan_r2_11,molecular_fingerprint,3.932774347956878,3.932774347956878,0.2590241028790669,0.2590241028790669,1.0,0.4,0.6,0.6,26.2,5,5
P_content wt%,elemental_composition,3.7190095015879914,3.7190095015879914,-0.1840224718910358,-0.1840224718910358,1.0,0.4,0.8,0.2,30.2,5,5
main_morgan_r2_26,molecular_fingerprint,4.793327904249766,4.793327904249766,-0.39839924973699414,-0.39839924973699414,1.0,0.2,0.6,0.4,30.4,5,5
main_morgan_r2_94,molecular_fingerprint,4.036438598849793,4.036438598849793,-0.10983518921221688,-0.10983518921221688,1.0,0.2,0.8,0.2,28.4,5,5
curing_TPSA,molecular_descriptor,3.1594165090647164,3.1594165090647164,-0.5949080878132348,-0.5949080878132348,1.0,0.2,0.5,0.5,82.0,5,5
Cone_Thickness_mm,test_condition,2.8449453950489,2.8449453950489,0.3399262765433566,0.3399262765433566,1.0,0.2,1.0,1.0,41.2,5,5
main_morgan_r2_93,molecular_fingerprint,2.120543392041862,2.120543392041862,-0.6723589329341755,-0.6723589329341755,1.0,0.2,0.5,0.5,76.4,5,5
main_morgan_r2_33,molecular_fingerprint,2.1096759214380247,2.1096759214380247,-0.6699557373644448,-0.6699557373644448,1.0,0.2,0.5,0.5,79.8,5,5
main_HBD,other,1.9457672323084725,1.9457672323084725,0.02156473776324929,0.02156473776324929,1.0,0.2,0.6,0.6,47.8,5,5
curing_LogP,molecular_descriptor,1.6677839063136595,1.6677839063136595,-0.4256056294784173,-0.4256056294784173,1.0,0.2,0.6666666666666666,0.6666666666666666,129.4,5,5
curing_morgan_r2_10,molecular_fingerprint,1.6544414712345243,1.6544414712345243,-0.40827398402075704,-0.40827398402075704,1.0,0.2,0.6666666666666666,0.6666666666666666,133.8,5,5
curing_HBA,molecular_descriptor,1.312275636835705,1.312275636835705,-0.09668189263412792,-0.09668189263412792,1.0,0.2,1.0,0.0,106.4,5,5
curing_morgan_r2_80,molecular_fingerprint,3.169469882074342,3.9618373525929274,-0.2802318302854784,-0.35028978785684795,0.8,0.2,0.75,0.25,91.6,4,5
P_x_curing_HeavyAtomCount,molecular_descriptor,3.280459681585877,3.280459681585877,0.12083683211537707,0.12083683211537707,1.0,0.0,0.6,0.4,28.0,5,5
Loading_x_EP_matrix_PHRR,formulation_interaction,3.1733991009923446,3.1733991009923446,0.013591644034483985,0.013591644034483985,1.0,0.0,0.6,0.6,30.2,5,5
main_morgan_r2_116,molecular_fingerprint,1.9837419361598034,1.9837419361598034,-0.5174719299643289,-0.5174719299643289,1.0,0.0,0.6,0.6,47.8,5,5
main_morgan_r2_85,molecular_fingerprint,1.9792505299547016,1.9792505299547016,-0.3648940565147592,-0.3648940565147592,1.0,0.0,1.0,0.0,73.6,5,5
main_morgan_r2_60,molecular_fingerprint,1.8418264585282234,1.8418264585282234,0.12955992506299588,0.12955992506299588,1.0,0.0,0.6666666666666666,0.6666666666666666,92.0,5,5
Preparation_Method_DOPO-based (Additive + Secondary Crosslinking),curing_and_preparation,1.8171453763592158,1.8171453763592158,0.6340598517207219,0.6340598517207219,1.0,0.0,0.75,0.75,72.2,5,5
main_morgan_r2_109,molecular_fingerprint,1.7003168192710725,1.7003168192710725,1.2709199795771944,1.2709199795771944,1.0,0.0,0.5,0.5,86.6,5,5
main_morgan_r2_49,molecular_fingerprint,1.6800555050185602,1.6800555050185602,0.40712762799536534,0.40712762799536534,1.0,0.0,1.0,1.0,114.2,5,5
main_HBA,other,1.6049086286406706,1.6049086286406706,0.13796727902263717,0.13796727902263717,1.0,0.0,0.8,0.8,44.8,5,5
P_content_x_EP_matrix_PHRR,formulation_interaction,1.5691055652941417,1.5691055652941417,0.35525364460911996,0.35525364460911996,1.0,0.0,0.6,0.4,49.2,5,5
main_morgan_r2_6,molecular_fingerprint,1.5388039195963306,1.5388039195963306,0.08077440272331134,0.08077440272331134,1.0,0.0,1.0,1.0,88.0,5,5
main_morgan_r2_102,molecular_fingerprint,1.5177162886258706,1.5177162886258706,-0.007253875569876012,-0.007253875569876012,1.0,0.0,0.6666666666666666,0.3333333333333333,97.2,5,5
N_content wt%,elemental_composition,1.3605836838165923,1.3605836838165923,0.18501186079192267,0.18501186079192267,1.0,0.0,0.8,0.8,47.8,5,5
P_content_log,elemental_composition,1.3308557829106147,1.3308557829106147,0.5418671144140925,0.5418671144140925,1.0,0.0,0.8,0.8,46.2,5,5
main_HeavyAtomCount,other,1.3248866005788744,1.3248866005788744,-0.3443562158753998,-0.3443562158753998,1.0,0.0,0.6,0.4,54.4,5,5
N/P ratio,elemental_composition,1.3122091727941882,1.3122091727941882,0.44209548681136435,0.44209548681136435,1.0,0.0,0.6,0.4,55.8,5,5
P_x_curing_HBD,molecular_descriptor,1.1925027065568694,1.1925027065568694,-0.17186139454064878,-0.17186139454064878,1.0,0.0,0.6666666666666666,0.3333333333333333,89.2,5,5
P_content_sq,elemental_composition,1.1759111848579635,1.1759111848579635,0.07069041723899619,0.07069041723899619,1.0,0.0,0.8,0.2,54.0,5,5
P_x_curing_FractionCSP3,molecular_descriptor,1.0910806428777966,1.0910806428777966,0.13956842818920379,0.13956842818920379,1.0,0.0,0.5,0.5,77.2,5,5
P_x_curing_RotBonds,molecular_descriptor,1.0510656716084534,1.0510656716084534,0.020779745912948972,0.020779745912948972,1.0,0.0,0.8,0.2,60.8,5,5
main_morgan_r2_92,molecular_fingerprint,0.9754922819132744,0.9754922819132744,0.155193056082422,0.155193056082422,1.0,0.0,0.75,0.75,88.6,5,5
P_x_curing_RingCount,molecular_descriptor,0.9510008694096242,0.9510008694096242,0.19685630181507766,0.19685630181507766,1.0,0.0,0.6,0.6,56.8,5,5
curing_MolWt,molecular_descriptor,0.9319155270523671,0.9319155270523671,-0.1939164152907173,-0.1939164152907173,1.0,0.0,1.0,0.0,122.0,5,5
P_content_sqrt,elemental_composition,0.9313115730077886,0.9313115730077886,-0.008944533918671605,-0.008944533918671605,1.0,0.0,0.75,0.25,70.8,5,5
P_x_CuringAgent_Has_N,molecular_descriptor,0.8823496464172947,0.8823496464172947,0.023210057864793465,0.023210057864793465,1.0,0.0,0.5,0.5,67.0,5,5
main_morgan_r2_22,molecular_fingerprint,0.8283472946963869,0.8283472946963869,-0.15948882174884674,-0.15948882174884674,1.0,0.0,1.0,0.0,89.4,5,5
main_morgan_r2_115,molecular_fingerprint,0.8181115115111675,0.8181115115111675,-0.024096284331745155,-0.024096284331745155,1.0,0.0,0.5,0.5,84.4,5,5
main_morgan_r2_12,molecular_fingerprint,0.8045565753324233,0.8045565753324233,0.046532393225089216,0.046532393225089216,1.0,0.0,0.5,0.5,72.4,5,5
main_AromaticRings,molecular_descriptor,0.7761091878909607,0.7761091878909607,0.02693202678696686,0.02693202678696686,1.0,0.0,0.5,0.5,72.6,5,5
